,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
s_segment_0_2292,0,0.0074,0.0055,0.4596,0.0023,0.0025,0.212,0.0014,0.2284,0.0791,0.0018
s_segment_0_2316,0.0067,0,0.0001,0.4775,0.0015,0.0675,0.436,0.0001,0.0101,0.0002,0.0003
s_segment_0_2326,0.0006,0.0001,0.0001,0.5489,0.0508,0.2301,0.0003,0.0018,0,0.1673,0
s_segment_0_2361,0.0138,0.0001,0,0.8998,0,0.0601,0.0063,0,0.0001,0.0194,0.0004
s_segment_0_2364,0.0002,0.0106,0.0986,0.657,0.0003,0.0184,0.1955,0.0024,0.0002,0.0168,0
s_segment_0_2382,0.0069,0.028,0.0005,0.303,0.0004,0.0112,0.1902,0.2693,0.1181,0.0704,0.002
s_segment_0_241,0.0021,0.0041,0.0001,0.0001,0.0003,0.0025,0.2606,0.6642,0.0001,0.0458,0.0201
s_segment_0_2435,0.0182,0.0826,0.0002,0.5263,0.0002,0.3069,0.0003,0.01,0.0551,0.0001,0.0001
s_segment_0_2452,0,0,0.1409,0.8202,0.0001,0.0001,0,0,0.0387,0,0
s_segment_0_2459,0.0004,0.0013,0,0.8451,0,0,0.0001,0.1431,0.0007,0.0093,0
s_segment_0_2477,0.0002,0.0005,0.0005,0.2365,0.0612,0.0042,0.1805,0.4879,0.0002,0.0281,0.0002
s_segment_0_2497,0.0012,0,0,0.214,0.0284,0.2566,0.4434,0.0001,0.0516,0.0044,0.0003
s_segment_0_2509,0.0002,0.0004,0.0551,0.0273,0.0592,0.0045,0.5555,0.284,0.0013,0.0123,0.0002
s_segment_0_2516,0.0003,0.0077,0.0046,0.3741,0.0004,0.0038,0.1612,0.4105,0.0117,0.0246,0.0011
s_segment_0_2521,0.0001,0.0009,0.0019,0.6829,0.0054,0.2306,0.0002,0.0456,0.008,0,0.0244
s_segment_0_2541,0.0006,0.0234,0.0007,0.0984,0.1253,0.1714,0.3335,0.2389,0.0008,0.0041,0.0029
s_segment_0_2592,0.0007,0.0037,0.0009,0.239,0.0038,0.4367,0.1543,0.0896,0.0438,0.0262,0.0013
s_segment_0_2609,0.0405,0,0,0.9256,0.0001,0.0329,0.0001,0,0,0,0.0008
s_segment_0_2612,0.0016,0.0166,0.0002,0.7102,0.0001,0.0239,0.0023,0.2443,0,0.0006,0.0002
s_segment_0_2628,0.0001,0.0012,0.0669,0.1696,0.0001,0.4219,0.3175,0.0184,0.0014,0.0027,0.0002
s_segment_0_2633,0.0002,0.0042,0.0001,0.5422,0.0001,0.0214,0.0001,0.3648,0.0001,0,0.0668
s_segment_0_2644,0.0028,0.0123,0.0364,0.354,0.119,0.1159,0.1911,0.0076,0.0042,0.0422,0.1145
s_segment_0_2661,0,0.0278,0.0175,0.5959,0.0024,0.0963,0.0452,0.0012,0.1821,0.0096,0.022
s_segment_0_2666,0,0.0031,0,0.1649,0.0002,0.5723,0.0437,0.2157,0.0001,0,0
s_segment_0_2667,0.141,0.0104,0.0003,0.6092,0.0004,0.0088,0.0029,0.1228,0,0.0003,0.1039
s_segment_0_2691,0.0041,0,0.0019,0.5664,0.0004,0.3109,0.1044,0.0052,0.0022,0.0006,0.0039
s_segment_0_2701,0,0.0369,0.0033,0.9101,0,0.0493,0.0001,0,0.0002,0.0001,0
s_segment_0_2743,0,0.0542,0,0.2687,0,0,0.0298,0.6469,0.0003,0,0.0001
s_segment_0_2755,0.0004,0.0687,0.0012,0.1109,0.0265,0.0085,0.4198,0.3502,0.0066,0.0003,0.0069
s_segment_0_2763,0.0013,0.0188,0.0229,0.0073,0.0034,0.2812,0.3697,0.1595,0.008,0.121,0.0069
s_segment_0_278,0,0.0008,0.0005,0.5824,0.0176,0.0001,0.0002,0.2386,0.0073,0.0585,0.094
s_segment_0_2783,0.0242,0.0037,0.0004,0.963,0.0012,0,0.0014,0.0001,0.0027,0,0.0033
s_segment_0_279,0.0025,0.0021,0,0.5314,0.0125,0.0186,0.4154,0.0001,0.0004,0.0105,0.0065
s_segment_0_2799,0.0047,0.01,0.0001,0.3148,0.0451,0.0211,0.1711,0.4331,0,0,0
s_segment_0_2820,0.0003,0.0525,0.0001,0.0111,0.0025,0.0065,0.3314,0.409,0.0516,0.1288,0.0062
s_segment_0_2833,0.0149,0.0001,0.079,0.3225,0.0012,0.2845,0.2111,0.0525,0.008,0.0067,0.0195
s_segment_0_2875,0,0,0,0.3589,0,0,0.0288,0.5657,0.0037,0.0428,0.0001
s_segment_0_292,0.0106,0.0081,0.1438,0.2986,0.0032,0.2887,0.0012,0.1705,0.0051,0.0024,0.0678
s_segment_0_2935,0,0.0497,0,0.812,0.0005,0.0001,0.0019,0.0089,0.0324,0.0608,0.0337
s_segment_0_2950,0.0001,0.0371,0,0.7971,0.0032,0.0271,0,0.0009,0.0869,0.0001,0.0475
s_segment_0_3008,0.0001,0.0048,0.0007,0.7562,0.0967,0.0914,0.0003,0.0468,0.003,0,0
s_segment_0_3028,0.0009,0.0759,0.0419,0.711,0.0832,0.0779,0.0074,0.0003,0.001,0.0002,0.0003
s_segment_0_3044,0,0.0004,0.0029,0.9376,0,0,0.0397,0.0081,0.0112,0.0001,0
s_segment_0_3087,0.0025,0.0523,0.0001,0.5986,0.0024,0.0002,0.1947,0.0018,0,0.1456,0.0018
s_segment_0_3100,0.0001,0,0.0001,0.9566,0.0009,0,0.0352,0.0001,0.0063,0,0.0007
s_segment_0_3103,0.0036,0.0166,0.0094,0.0197,0.0073,0.3403,0.0901,0.5031,0.0017,0.0063,0.0019
s_segment_0_3153,0.005,0.0136,0.0565,0.4692,0.0098,0.2156,0.1752,0.0198,0.0028,0.0261,0.0064
s_segment_0_3189,0.0003,0.2886,0.0093,0.3358,0.0001,0.001,0.2182,0.1241,0.0001,0,0.0225
s_segment_0_3203,0.0001,0.0234,0,0.4371,0,0.5194,0,0.0001,0.0166,0,0.0033
s_segment_0_3226,0.0001,0.0063,0.0054,0.223,0.2656,0.2157,0.0212,0.2407,0.0002,0.0015,0.0203
s_segment_0_3229,0.0385,0.0023,0.0003,0.2396,0.0059,0.3683,0,0.326,0.0004,0.0186,0.0001
s_segment_0_3231,0.0064,0.0788,0.0031,0.7315,0.0079,0.1257,0.0006,0.0331,0.0018,0.0098,0.0013
s_segment_0_3235,0.0028,0.0212,0.068,0.5355,0.0484,0.069,0,0.2,0.0393,0.0153,0.0005
s_segment_0_324,0.0001,0.0373,0,0.7512,0.0474,0,0.164,0,0,0,0
s_segment_0_3252,0.0001,0.0012,0.0001,0.8404,0.0523,0.0142,0.0001,0.0891,0.0001,0.0013,0.0011
s_segment_0_3279,0.0004,0.0029,0.0004,0.7558,0.0008,0.2191,0.0022,0.0099,0.0006,0.0008,0.0071
s_segment_0_331,0.0001,0.0003,0,0.0719,0.0001,0.1126,0.0874,0.5042,0.0116,0.2118,0
s_segment_0_3315,0.0001,0.0672,0.033,0.4844,0.0001,0.0003,0.0051,0.3984,0,0.0002,0.0112
s_segment_0_3319,0.0001,0.054,0.0391,0.0171,0.0011,0.0001,0.594,0.2879,0.0007,0.0001,0.0058
s_segment_0_3358,0.0254,0.0298,0.0615,0.3135,0.0029,0.0007,0.0224,0.3728,0.1321,0.0333,0.0056
s_segment_0_3404,0.0156,0.2131,0.0018,0.7513,0.003,0.0002,0.0112,0,0.0001,0.0001,0.0036
s_segment_0_3438,0.0026,0.1757,0.0351,0.7088,0.0002,0.0002,0.0188,0.0574,0.0009,0.0001,0.0002
s_segment_0_3444,0.0081,0.067,0.0073,0.0753,0.0008,0.5877,0.0663,0.1855,0.0005,0.001,0.0005
s_segment_0_3459,0.0438,0.0006,0.0065,0.7591,0.0003,0.021,0.0008,0.0022,0.0387,0.1258,0.0012
s_segment_0_3470,0.0002,0.0027,0.0029,0.8624,0.0002,0.0005,0.1001,0.0003,0,0.0302,0.0005
s_segment_0_3514,0.0032,0.0018,0.0668,0.4159,0.0575,0.0934,0.0294,0.295,0.0081,0.0231,0.0058
s_segment_0_3522,0.0023,0.1201,0.0038,0.1139,0.0841,0.0009,0.2699,0.3792,0.0015,0.0191,0.0052
s_segment_0_3530,0.0034,0.0022,0.0002,0.1096,0.0946,0.0006,0.0609,0.6575,0.0346,0.0357,0.0007
s_segment_0_3582,0.0005,0.0002,0.0196,0.0206,0.0028,0.3252,0.4226,0.171,0.0191,0.0008,0.0176
s_segment_0_3598,0.0036,0.0025,0.0619,0.3382,0.0233,0.1854,0.2311,0.1094,0.0005,0.0006,0.0435
s_segment_0_3607,0.001,0.0016,0.0906,0.7228,0.0398,0.0001,0.0117,0.1112,0.0204,0.0007,0.0001
s_segment_0_3630,0.0002,0.0008,0.0007,0.1944,0.0051,0.0783,0.0023,0.6916,0.0007,0.0006,0.0253
s_segment_0_3639,0,0.0708,0.025,0.0445,0,0.0404,0.3897,0.3602,0.0039,0.0654,0.0001
s_segment_0_3657,0.0004,0.0005,0.0006,0.5021,0.004,0.0066,0.0014,0.0626,0.1107,0.3069,0.0042
s_segment_0_3680,0,0.0001,0.0001,0.6968,0.0228,0.0773,0.0736,0.0487,0.0019,0,0.0787
s_segment_0_3692,0.0756,0.0034,0,0.4801,0.0001,0.0058,0.018,0.2786,0.004,0.1343,0.0001
s_segment_0_3696,0.0018,0.1348,0.0023,0.5811,0.001,0.2714,0,0.0051,0.0001,0.0021,0.0003
s_segment_0_3718,0.0001,0,0.0978,0.4908,0.0112,0.0214,0.3768,0.0007,0.0004,0.0007,0.0001
s_segment_0_3739,0.0058,0.1417,0.0009,0.6016,0.0027,0.2452,0.0002,0,0.0001,0.0017,0.0001
s_segment_0_3752,0.0218,0.0026,0.1225,0.8527,0,0.0001,0,0,0.0001,0,0.0002
s_segment_0_3769,0.0257,0.0001,0,0.3488,0.0001,0.0007,0.0071,0.6071,0.0091,0.0007,0.0006
s_segment_0_3776,0.0945,0.0114,0.0002,0.358,0.0543,0.001,0.3168,0.0028,0.0149,0.1448,0.0013
s_segment_0_3785,0.0028,0.0218,0.0822,0.4061,0.0017,0.0248,0.0013,0.1076,0.2254,0.1253,0.001
s_segment_0_3792,0.0236,0.0017,0.0337,0.7398,0.0734,0.0051,0.0535,0.0014,0.0027,0.0089,0.0562
s_segment_0_3808,0.058,0.0045,0.105,0.4797,0.0026,0.0024,0.2162,0.0587,0.0067,0.0641,0.0021
s_segment_0_3819,0.0009,0.0003,0.0272,0.414,0.0101,0.0062,0.1447,0.2675,0.0988,0.0064,0.0239
s_segment_0_3858,0,0.0108,0.0003,0.7863,0,0.1172,0.0499,0.0011,0.0225,0.001,0.0109
s_segment_0_3863,0.0001,0.0001,0.0019,0.7527,0.0006,0.0028,0.0004,0.019,0.2146,0.0025,0.0053
s_segment_0_3869,0.0128,0.0003,0.1639,0.0008,0.0002,0.0005,0.3039,0.5041,0.0133,0.0001,0.0001
s_segment_0_3882,0.0001,0,0.0001,0.6984,0.0095,0.015,0.1336,0.0145,0.1135,0,0.0153
s_segment_0_3926,0.001,0,0.0241,0.8027,0.0012,0,0.1558,0.0001,0.0001,0.015,0
s_segment_0_3950,0.0043,0.0269,0.0083,0.7117,0,0.0002,0.011,0.1454,0.0002,0.0337,0.0583
s_segment_0_3951,0.001,0.17,0.1043,0.3735,0.0033,0.0059,0.2549,0.0681,0.0151,0.0015,0.0024
s_segment_0_3963,0.0088,0.0001,0.1055,0.8039,0.0001,0,0.0301,0.0027,0.0001,0.0006,0.0481
s_segment_0_3970,0.0112,0.3978,0.0072,0.3992,0.0124,0.0418,0.0546,0.0351,0.022,0.0061,0.0126
s_segment_0_3982,0.0004,0.0042,0.013,0.6734,0.0034,0.0002,0.1832,0.1184,0.0003,0.0001,0.0034
s_segment_0_402,0.0014,0.0002,0.0077,0.441,0.0002,0.0391,0.4991,0.01,0.0009,0.0004,0
s_segment_0_404,0.0157,0.0069,0.0156,0.3524,0.0085,0.586,0.0002,0.0027,0.0005,0.0006,0.0109
s_segment_0_4076,0.0001,0.0004,0.0228,0.4122,0.0013,0.1777,0,0.0503,0.302,0.0067,0.0265
s_segment_0_4084,0,0,0.0001,0.7356,0.0008,0.181,0.0824,0,0.0001,0,0
s_segment_0_4097,0.0002,0,0.0001,0.9133,0.0001,0.0002,0.057,0.0181,0.0109,0,0.0001
s_segment_0_4131,0.0243,0.0831,0.0004,0.0006,0.0094,0.0953,0.3529,0.4312,0.0002,0.0023,0.0003
s_segment_0_4132,0.0189,0.0003,0.0001,0.7029,0.0033,0.0903,0.0049,0.0197,0.1318,0.0148,0.013
s_segment_0_417,0.0018,0.0572,0.0691,0.493,0.0002,0.0287,0.0045,0.0134,0.0479,0.2526,0.0316
s_segment_0_4175,0.0066,0.0002,0.1009,0.5306,0.0251,0.2943,0.0189,0.0088,0.0022,0.0124,0
s_segment_0_418,0.0718,0.0003,0.0004,0.7057,0.0977,0.0001,0.0518,0.051,0.015,0.006,0.0002
s_segment_0_4212,0.0003,0.0119,0.0188,0.2778,0.0307,0.1525,0.249,0.2498,0,0.009,0.0002
s_segment_0_4248,0.0004,0.0005,0.0013,0.884,0.0004,0.002,0.0004,0.0001,0.005,0.1053,0.0006
s_segment_0_4252,0.0029,0,0,0.3321,0.0445,0.0001,0.58,0.0087,0.0315,0,0.0002
s_segment_0_4274,0,0.0002,0.0171,0.2749,0.0001,0.0329,0.0197,0.4803,0.1733,0.0014,0.0001
s_segment_0_4293,0.0057,0.0019,0.0033,0.0895,0,0.3509,0.004,0.52,0.0096,0.0012,0.0139
s_segment_0_4301,0.198,0.0014,0.0025,0.3055,0.0017,0.0648,0.0308,0.3636,0.0049,0.0229,0.0039
s_segment_0_4329,0.0013,0.0004,0.0006,0.8545,0.1029,0.0013,0.0031,0.0211,0.0133,0.0011,0.0004
s_segment_0_4336,0.0368,0.0051,0.0002,0.4286,0.0066,0.323,0.1988,0.0007,0.0001,0.0001,0
s_segment_0_4348,0.0043,0.0007,0.0503,0.9189,0.0002,0.0001,0.0001,0,0,0.0013,0.0241
s_segment_0_4372,0,0.0001,0.0097,0.7326,0.0005,0.1675,0.0726,0.0112,0.0005,0.0052,0.0001
s_segment_0_4379,0.0001,0.0142,0.0001,0.0201,0.0039,0.2157,0.4335,0.3114,0.0002,0.0008,0
s_segment_0_4394,0.0013,0.0014,0.1354,0.7537,0.0291,0.0035,0.05,0.0192,0.0004,0.0039,0.0021
s_segment_0_443,0.1637,0.0423,0.0689,0.5546,0.001,0.0009,0.0004,0.1394,0.0245,0.0001,0.0042
s_segment_0_4439,0.0696,0.0119,0,0.7745,0.0004,0,0.0194,0.0524,0.0001,0.0624,0.0093
s_segment_0_4480,0.0005,0.0019,0.1183,0.3998,0.0001,0.0029,0.0148,0.2505,0.1487,0.0101,0.0524
s_segment_0_4483,0.0041,0.0362,0,0.8039,0,0.0001,0,0,0,0.1547,0.001
s_segment_0_4494,0,0.0415,0,0.7334,0.0001,0,0.0003,0.0768,0.0856,0.0001,0.0622
s_segment_0_4540,0.0002,0.1387,0.0001,0.0108,0.0034,0.0136,0.4954,0.3357,0.0009,0,0.0012
s_segment_0_4569,0.0098,0.0003,0.0337,0.7125,0.0602,0,0.1516,0.0215,0.0001,0.0004,0.0099
s_segment_0_4572,0.0124,0.0209,0.0045,0.0198,0.0031,0.3188,0.0001,0.531,0.038,0.023,0.0284
s_segment_0_460,0.0049,0.0756,0.0001,0.4121,0.0039,0.1714,0.0306,0.2106,0.0804,0.0034,0.007
s_segment_0_4627,0.0001,0.0001,0.0084,0.5031,0.0012,0.0863,0.392,0.0022,0.0001,0.0065,0
s_segment_0_4645,0.0336,0.0011,0.0002,0.6641,0.0007,0.0108,0.271,0.0027,0.015,0.0008,0
s_segment_0_4648,0.0852,0.0024,0.0012,0.85,0.0002,0.0002,0.0361,0.0163,0.0048,0.0007,0.0029
s_segment_0_4655,0.0071,0.0967,0.0995,0.5794,0.0082,0.041,0.0046,0.059,0.0242,0.0119,0.0684
s_segment_0_4663,0.0001,0.0004,0.0004,0.7652,0.0003,0.233,0,0,0.0006,0,0
s_segment_0_4678,0.0002,0.0024,0.0006,0.4168,0.0004,0,0,0.2843,0.0008,0.2927,0.0018
s_segment_0_4697,0.0418,0.0291,0.0458,0.6843,0.1034,0.0055,0.0057,0.0227,0.0217,0.0343,0.0057
s_segment_0_4717,0.0051,0.0231,0.0003,0.5939,0.0001,0.2359,0.0359,0.0068,0.0988,0.0001,0
s_segment_0_4722,0.0001,0.0105,0.115,0.1805,0.0058,0.4443,0.2386,0.0002,0.0002,0,0.0048
s_segment_0_473,0.0311,0.1963,0.0007,0.6737,0.0002,0.0979,0.0001,0,0,0,0
s_segment_0_4744,0.0071,0,0.036,0.0744,0.0001,0.1892,0.2678,0.3842,0.0379,0.003,0.0003
s_segment_0_4780,0.0001,0.0002,0.0019,0.891,0.0171,0.0001,0.0347,0.0074,0.0475,0,0
s_segment_0_4795,0.006,0.0004,0.0006,0.5514,0.0091,0.4006,0.0143,0.0073,0.0025,0.0051,0.0027
s_segment_0_4800,0,0.0475,0.0004,0.7987,0.0005,0.0015,0.0002,0.1026,0.0004,0.0482,0
s_segment_0_4832,0.0008,0.2408,0.0037,0.6234,0.0031,0.0211,0.0347,0.0076,0.0094,0.0489,0.0065
s_segment_0_4872,0.0006,0.057,0.0006,0.8746,0.0003,0,0.0002,0.0499,0.0037,0.013,0.0001
s_segment_0_491,0.0044,0.0005,0,0.0622,0.0001,0.0001,0.5743,0.336,0.0054,0.0068,0.0102
s_segment_0_4920,0,0.0228,0.0001,0.7494,0,0.0002,0.2078,0.0002,0.0001,0.0194,0
s_segment_0_4930,0.0002,0.0515,0.0089,0.1522,0.0041,0.0088,0.7084,0.0659,0,0,0
s_segment_0_4940,0.0002,0.0001,0.0006,0.7283,0.0006,0.0089,0.0212,0.2285,0.0021,0.0092,0.0003
s_segment_0_4953,0,0.0151,0.0003,0.6205,0.0001,0.3598,0.0001,0.0001,0.0034,0.0001,0.0005
s_segment_0_4954,0.0381,0.0596,0.0012,0.5666,0.0354,0.0002,0.2979,0.0005,0,0.0003,0.0002
s_segment_0_4979,0.0002,0.1203,0.0021,0.6902,0.0003,0.1714,0.0059,0.0057,0.0003,0,0.0036
s_segment_0_4993,0.0026,0.0792,0.0089,0.341,0.0668,0.1519,0.0309,0.0434,0.2748,0.0004,0.0001
s_segment_0_533,0.0054,0.1057,0.0001,0.8363,0.0008,0.0009,0.0002,0.0068,0.0415,0.0006,0.0017
s_segment_0_550,0.003,0.0162,0.0002,0.7046,0.0017,0.1207,0.0174,0.0421,0.0175,0.0764,0.0002
s_segment_0_551,0.003,0.0025,0.1028,0.2777,0.0283,0.1493,0.0869,0.2945,0.0047,0.0229,0.0274
s_segment_0_635,0.0827,0,0,0.765,0.0001,0.142,0.0001,0,0.008,0.002,0.0001
s_segment_0_64,0.0045,0.0009,0.0266,0.3237,0.0028,0.3792,0.1543,0.0901,0.0166,0.0005,0.0008
s_segment_0_643,0.0001,0,0.0003,0.1584,0.0005,0.4575,0.0129,0.3698,0.0001,0.0001,0.0003
s_segment_0_656,0.0011,0.0019,0.0002,0.0927,0.0379,0.5228,0.0909,0.2289,0.0213,0.0013,0.001
s_segment_0_671,0.0001,0.0002,0,0,0,0,0.4654,0.4818,0.0002,0.0508,0.0015
s_segment_0_703,0.0001,0.0001,0.0005,0.2451,0,0.2065,0.4004,0.147,0.0002,0,0.0001
s_segment_0_704,0.0607,0.0005,0.1044,0.5609,0.0779,0.0002,0.0083,0.1863,0,0,0.0008
s_segment_0_707,0.0001,0.0001,0.0019,0.4994,0.0008,0.0699,0.1997,0.0545,0.0543,0.1191,0.0002
s_segment_0_741,0.0022,0.0001,0,0.4596,0.0001,0,0.295,0.0001,0,0.2426,0.0003
s_segment_0_749,0,0.1918,0,0.6965,0.0026,0,0.0891,0.0198,0,0.0001,0.0001
s_segment_0_762,0,0,0.0818,0.5482,0.0001,0.0847,0.0468,0.0002,0.2261,0.0027,0.0094
s_segment_0_779,0.0001,0.0023,0,0.9466,0.0008,0.0001,0.0387,0.008,0.0027,0,0.0007
s_segment_0_797,0.0011,0.0131,0.0247,0.1024,0.0702,0.0344,0.3457,0.398,0.01,0.0004,0
s_segment_0_8,0.0034,0.0937,0.0092,0.4506,0.0084,0.0006,0.0266,0.3006,0.018,0.0439,0.045
s_segment_0_818,0.1521,0.0045,0.0009,0.4406,0.0542,0.2855,0.0115,0.0014,0.033,0.0002,0.0161
