,CD4 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-IB-A6UG-01A,9.058,12.288,99.041,25.692,17.78,4.942,12.953,991.647,7332,PAAD,D1D2_ref,0.042,0.067,0.091,0.002,0.004,0.004,0.181,0.107,0.11,0.127,0.072,0.036,0.01,0.029,0.108,0.009,0.10900000000000001,0.006,0.199
TCGA-US-A779-01A,1.225,3.302,63.751,18.104,5.897,1.549,8.278,2209.126,7333,PAAD,D1D2_ref,0.043,0.019,0.104,0.009,0.002,0.004,0.274,0.079,0.11,0.092,0.089,0.036,0.016,0.042,0.071,0.011,0.062,0.011,0.181
TCGA-US-A77G-01A,4.42,27.653,75.777,14.289,5.962,3.843,14.239,1640.201,7334,PAAD,D1D2_ref,0.043,0.014,0.1,0.019,0.004,0.002,0.245,0.069,0.11,0.085,0.085,0.032,0.013,0.042,0.105,0.033,0.056999999999999995,0.023,0.17
TCGA-FB-AAQ0-01A,1.71,26.691,46.548,9.756,3.316,2.805,18.337,1943.336,7335,PAAD,D1D2_ref,0.033,0.048,0.117,0.005,0.003,0.012,0.195,0.055,0.072,0.142,0.083,0.028,0.01,0.069,0.119,0.009,0.081,0.008,0.22499999999999998
TCGA-IB-7646-01A,10.204,23.922,100.978,80.86,29.533,10.188,31.07,1983.647,7336,PAAD,D1D2_ref,0.011,0.018,0.098,0.016,0.026,0.002,0.0,0.038,0.129,0.177,0.214,0.053,0.02,0.035,0.09,0.074,0.028999999999999998,0.041999999999999996,0.391
TCGA-HZ-8636-01A,31.28,16.153,143.103,110.467,27.476,4.487,19.539,823.4,7337,PAAD,D1D2_ref,0.025,0.029,0.117,0.025,0.016,0.002,0.0,0.047,0.127,0.166,0.158,0.039,0.013,0.018,0.11,0.107,0.054000000000000006,0.041,0.324
TCGA-XD-AAUI-01A,16.58,21.715,143.437,42.162,10.239,4.303,11.1,1683.904,7338,PAAD,D1D2_ref,0.019,0.119,0.12,0.01,0.009,0.001,0.0,0.057,0.149,0.119,0.207,0.035,0.012,0.024,0.082,0.036,0.13799999999999998,0.019,0.32599999999999996
TCGA-2J-AABT-01A,21.05,17.051,103.874,75.934,6.772,4.966,18.829,677.023,7339,PAAD,D1D2_ref,0.005,0.019,0.13,0.013,0.025,0.003,0.0,0.033,0.142,0.134,0.294,0.051,0.005,0.02,0.062,0.064,0.024,0.038,0.428
TCGA-2J-AABU-01A,13.719,12.338,74.451,36.901,11.783,14.661,26.855,2095.304,7340,PAAD,D1D2_ref,0.026,0.033,0.133,0.026,0.005,0.002,0.0,0.061,0.132,0.164,0.172,0.035,0.011,0.05,0.122,0.029,0.059,0.031,0.33599999999999997
TCGA-HZ-8317-01A,6.548,9.728,119.623,34.051,20.283,2.802,11.091,675.654,7341,PAAD,D1D2_ref,0.029,0.012,0.091,0.002,0.017,0.006,0.0,0.041,0.147,0.173,0.189,0.071,0.015,0.032,0.137,0.039,0.041,0.019000000000000003,0.362
TCGA-RB-AA9M-01A,5.926,16.365,160.396,41.364,12.63,9.01,10.081,2751.009,7342,PAAD,D1D2_ref,0.027,0.013,0.112,0.008,0.034,0.003,0.0,0.076,0.183,0.138,0.164,0.034,0.018,0.042,0.112,0.036,0.04,0.042,0.30200000000000005
TCGA-2J-AABE-01A,8.143,12.569,107.009,62.088,11.227,2.746,16.68,1032.174,7343,PAAD,D1D2_ref,0.024,0.036,0.107,0.016,0.008,0.004,0.0,0.022,0.146,0.176,0.15,0.051,0.006,0.025,0.106,0.123,0.06,0.024,0.32599999999999996
TCGA-IB-AAUP-01A,75.039,73.822,151.705,82.668,24.798,25.059,10.412,726.28,7344,PAAD,D1D2_ref,0.009,0.24,0.063,0.032,0.047,0.003,0.0,0.042,0.101,0.154,0.125,0.044,0.007,0.016,0.093,0.022,0.249,0.079,0.279
TCGA-FB-AAPZ-01A,18.242,14.186,116.493,49.325,16.936,8.405,17.687,1569.999,7345,PAAD,D1D2_ref,0.01,0.014,0.101,0.01,0.043,0.004,0.021,0.072,0.148,0.161,0.171,0.051,0.015,0.016,0.109,0.055,0.024,0.053,0.332
TCGA-IB-7887-01A,5.463,14.04,105.151,37.484,25.078,11.919,18.001,1143.536,7346,PAAD,D1D2_ref,0.024,0.017,0.138,0.021,0.019,0.003,0.0,0.059,0.129,0.183,0.126,0.05,0.013,0.07,0.118,0.031,0.041,0.04,0.309
TCGA-2L-AAQJ-01A,5.594,20.51,127.895,33.315,2.979,7.332,5.452,1955.757,7347,PAAD,D1D2_ref,0.023,0.1,0.105,0.005,0.014,0.001,0.0,0.044,0.19,0.111,0.185,0.057,0.01,0.023,0.079,0.053,0.123,0.019,0.296
TCGA-RL-AAAS-01A,21.874,23.097,284.753,108.027,66.704,28.651,7.912,943.277,7348,PAAD,D1D2_ref,0.011,0.121,0.094,0.015,0.012,0.001,0.0,0.075,0.141,0.14,0.172,0.052,0.013,0.023,0.1,0.031,0.132,0.027,0.312
TCGA-FB-A4P5-01A,40.135,52.419,182.882,96.076,19.426,35.654,15.868,1048.075,7349,PAAD,D1D2_ref,0.02,0.141,0.059,0.029,0.059,0.0,0.0,0.029,0.137,0.126,0.191,0.037,0.008,0.014,0.084,0.066,0.16099999999999998,0.088,0.317
TCGA-YB-A89D-01A,21.947,24.647,173.944,108.771,28.43,5.66,16.072,1326.654,7350,PAAD,D1D2_ref,0.028,0.025,0.112,0.013,0.019,0.003,0.0,0.041,0.14,0.171,0.169,0.041,0.008,0.029,0.102,0.102,0.053000000000000005,0.032,0.34
TCGA-XD-AAUG-01A,18.772,11.964,167.008,45.617,37.345,5.253,15.205,413.407,7351,PAAD,D1D2_ref,0.025,0.014,0.097,0.005,0.039,0.005,0.0,0.063,0.156,0.189,0.183,0.033,0.016,0.021,0.113,0.039,0.039,0.044,0.372
TCGA-2L-AAQE-01A,9.352,37.162,101.77,17.235,11.874,9.073,8.753,1696.541,7352,PAAD,D1D2_ref,0.022,0.085,0.156,0.012,0.023,0.002,0.066,0.062,0.135,0.132,0.118,0.032,0.012,0.027,0.091,0.023,0.10700000000000001,0.035,0.25
TCGA-FB-AAQ2-01A,4.967,5.259,61.931,17.714,3.768,2.758,11.766,2231.008,7353,PAAD,D1D2_ref,0.047,0.044,0.131,0.015,0.005,0.003,0.073,0.078,0.153,0.091,0.184,0.024,0.006,0.033,0.095,0.018,0.091,0.02,0.275
TCGA-V1-A9OF-01A,6.341,7.231,49.707,16.049,47.511,1.929,11.59,566.286,2806,PRAD,D1D2_ref,0.032,0.013,0.091,0.005,0.008,0.004,0.418,0.097,0.076,0.047,0.063,0.04,0.024,0.035,0.043,0.004,0.045,0.013000000000000001,0.11
TCGA-ZG-A8QX-01A,2.191,9.314,19.397,12.252,32.302,2.389,9.497,535.717,2807,PRAD,D1D2_ref,0.029,0.03,0.101,0.005,0.009,0.001,0.308,0.097,0.08,0.051,0.173,0.029,0.016,0.032,0.031,0.009,0.059,0.013999999999999999,0.22399999999999998
TCGA-YL-A8SC-01A,9.064,36.074,74.062,35.6,104.087,9.732,18.477,359.943,2808,PRAD,D1D2_ref,0.038,0.009,0.085,0.032,0.014,0.001,0.329,0.093,0.087,0.063,0.09,0.05,0.012,0.046,0.046,0.004,0.047,0.046,0.153
TCGA-HC-7817-01B,13.826,19.521,95.748,48.979,42.864,6.409,16.974,579.111,2809,PRAD,D1D2_ref,0.033,0.022,0.088,0.018,0.007,0.001,0.0,0.093,0.189,0.081,0.268,0.039,0.013,0.054,0.072,0.022,0.055,0.024999999999999998,0.34900000000000003
TCGA-KC-A7F6-01A,3.236,11.692,57.933,12.862,41.017,3.329,19.6,694.517,2810,PRAD,D1D2_ref,0.035,0.011,0.073,0.018,0.009,0.001,0.269,0.1,0.146,0.062,0.136,0.033,0.014,0.047,0.038,0.009,0.046,0.026999999999999996,0.198
TCGA-KK-A7B4-01A,7.186,18.364,58.346,20.185,109.503,5.611,26.886,477.485,2811,PRAD,D1D2_ref,0.038,0.019,0.102,0.011,0.013,0.002,0.296,0.118,0.08,0.072,0.11,0.047,0.009,0.038,0.035,0.01,0.056999999999999995,0.024,0.182
TCGA-G9-6366-01A,2.059,8.44,58.419,9.483,18.201,3.013,12.492,623.282,2812,PRAD,D1D2_ref,0.062,0.014,0.085,0.003,0.014,0.007,0.344,0.082,0.08,0.058,0.12,0.037,0.017,0.023,0.05,0.002,0.076,0.017,0.178
TCGA-KK-A59X-01A,2.033,21.41,50.774,19.286,75.492,1.835,9.324,645.478,2813,PRAD,D1D2_ref,0.044,0.021,0.092,0.038,0.003,0.003,0.235,0.074,0.12,0.063,0.167,0.044,0.015,0.044,0.032,0.005,0.065,0.041,0.23
TCGA-HC-A6AN-01A,1.706,12.652,65.558,19.518,19.672,4.277,14.744,1105.379,2814,PRAD,D1D2_ref,0.042,0.035,0.105,0.004,0.005,0.006,0.23,0.106,0.114,0.065,0.131,0.069,0.023,0.034,0.027,0.005,0.07700000000000001,0.009000000000000001,0.196
TCGA-G9-6498-01A,9.301,13.478,80.582,9.046,14.377,6.184,5.757,475.025,2815,PRAD,D1D2_ref,0.046,0.019,0.115,0.006,0.017,0.004,0.188,0.091,0.179,0.082,0.158,0.044,0.023,0.013,0.012,0.006,0.065,0.023,0.24
TCGA-J4-AATZ-01A,3.949,20.866,41.195,11.703,42.219,2.538,20.239,616.784,2816,PRAD,D1D2_ref,0.043,0.008,0.07,0.011,0.009,0.003,0.391,0.101,0.084,0.044,0.079,0.036,0.015,0.044,0.057,0.005,0.051,0.019999999999999997,0.123
TCGA-EJ-7317-01A,1.217,4.382,52.892,7.412,35.629,1.0,7.368,448.491,2817,PRAD,D1D2_ref,0.041,0.018,0.078,0.005,0.005,0.008,0.357,0.085,0.11,0.059,0.111,0.036,0.02,0.03,0.033,0.004,0.059,0.01,0.16999999999999998
TCGA-SU-A7E7-01A,8.798,14.107,67.705,25.126,85.518,5.734,24.586,443.18,2818,PRAD,D1D2_ref,0.042,0.011,0.078,0.014,0.02,0.001,0.242,0.103,0.133,0.068,0.131,0.03,0.015,0.04,0.064,0.009,0.053000000000000005,0.034,0.199
TCGA-XJ-A83F-01A,1.0,9.802,72.813,9.588,33.672,1.55,16.317,562.768,2819,PRAD,D1D2_ref,0.049,0.015,0.071,0.01,0.005,0.004,0.309,0.086,0.134,0.063,0.122,0.05,0.023,0.028,0.029,0.004,0.064,0.015,0.185
TCGA-2A-AAYO-01A,11.936,18.547,54.172,30.073,49.111,4.717,10.164,511.12,2820,PRAD,D1D2_ref,0.039,0.038,0.103,0.007,0.003,0.002,0.31,0.085,0.1,0.054,0.124,0.058,0.017,0.035,0.018,0.006,0.077,0.01,0.178
TCGA-EJ-A46B-01A,3.086,7.426,58.401,10.937,32.476,1.49,15.971,430.435,2821,PRAD,D1D2_ref,0.035,0.013,0.075,0.012,0.008,0.002,0.206,0.1,0.128,0.062,0.201,0.025,0.018,0.051,0.056,0.006,0.048,0.02,0.263
TCGA-QU-A6IN-01A,1.0,17.603,26.397,6.464,32.186,2.076,28.504,1035.507,2822,PRAD,D1D2_ref,0.056,0.03,0.11,0.009,0.005,0.01,0.399,0.063,0.089,0.037,0.084,0.026,0.027,0.019,0.029,0.005,0.086,0.013999999999999999,0.121
TCGA-KK-A59Z-01A,3.061,4.836,69.627,23.128,27.114,1.755,5.399,246.797,2823,PRAD,D1D2_ref,0.032,0.018,0.097,0.004,0.018,0.001,0.156,0.1,0.16,0.07,0.209,0.056,0.021,0.019,0.027,0.013,0.05,0.022,0.279
TCGA-XK-AAJT-01A,2.949,18.837,70.672,19.661,19.959,3.827,8.32,314.012,2824,PRAD,D1D2_ref,0.039,0.02,0.079,0.025,0.01,0.002,0.015,0.1,0.211,0.074,0.289,0.045,0.017,0.043,0.025,0.007,0.059,0.035,0.363
TCGA-EJ-7125-01A,4.212,6.278,62.015,16.826,59.411,1.657,14.326,635.628,2825,PRAD,D1D2_ref,0.034,0.016,0.085,0.004,0.013,0.003,0.279,0.069,0.12,0.062,0.167,0.045,0.016,0.042,0.035,0.01,0.05,0.017,0.229
TCGA-J9-A52C-01A,8.264,17.169,127.52,37.169,39.882,9.548,14.594,441.521,2826,PRAD,D1D2_ref,0.022,0.022,0.079,0.01,0.021,0.001,0.0,0.096,0.222,0.077,0.293,0.033,0.013,0.049,0.046,0.017,0.044,0.031,0.37
TCGA-YL-A8HL-01A,1.64,16.623,63.313,8.001,40.846,1.125,29.277,478.714,2827,PRAD,D1D2_ref,0.038,0.011,0.072,0.006,0.011,0.001,0.386,0.105,0.096,0.045,0.085,0.036,0.014,0.04,0.049,0.005,0.049,0.017,0.13
TCGA-ZG-A9LZ-01A,3.293,18.326,42.648,22.594,47.112,8.195,16.195,423.037,2828,PRAD,D1D2_ref,0.042,0.021,0.091,0.016,0.004,0.003,0.37,0.1,0.084,0.058,0.083,0.041,0.01,0.038,0.034,0.004,0.063,0.02,0.14100000000000001
TCGA-J9-A8CP-01A,2.532,7.856,153.585,14.503,289.984,2.904,16.962,735.554,2829,PRAD,D1D2_ref,0.036,0.017,0.084,0.006,0.004,0.002,0.139,0.064,0.214,0.074,0.159,0.029,0.075,0.045,0.044,0.007,0.053,0.01,0.23299999999999998
TCGA-FC-A6HD-01A,1.26,8.047,20.922,10.074,52.327,1.74,12.776,753.802,2830,PRAD,D1D2_ref,0.056,0.035,0.098,0.009,0.002,0.012,0.404,0.076,0.057,0.041,0.077,0.027,0.04,0.035,0.027,0.004,0.091,0.011,0.118
TCGA-G9-6351-01A,2.376,8.689,39.394,6.294,37.594,1.34,11.38,530.356,2831,PRAD,D1D2_ref,0.043,0.015,0.075,0.006,0.011,0.003,0.188,0.129,0.117,0.076,0.167,0.026,0.018,0.047,0.074,0.004,0.057999999999999996,0.017,0.243
TCGA-EJ-5532-01A,5.63,7.224,87.732,16.422,41.105,1.865,17.601,532.871,2832,PRAD,D1D2_ref,0.038,0.023,0.104,0.005,0.018,0.003,0.193,0.078,0.132,0.072,0.191,0.041,0.017,0.033,0.043,0.01,0.061,0.023,0.263
TCGA-EJ-5525-01A,4.948,7.132,108.888,21.48,35.284,1.269,13.527,466.309,2833,PRAD,D1D2_ref,0.015,0.08,0.107,0.003,0.002,0.052,0.077,0.057,0.161,0.102,0.174,0.06,0.007,0.047,0.047,0.01,0.095,0.005,0.27599999999999997
TCGA-ZG-A9L9-01A,5.088,15.22,55.988,35.137,36.319,5.271,9.546,349.559,2834,PRAD,D1D2_ref,0.032,0.026,0.11,0.015,0.006,0.002,0.031,0.134,0.133,0.095,0.25,0.084,0.021,0.044,0.012,0.005,0.057999999999999996,0.020999999999999998,0.345
TCGA-EJ-A65F-01A,6.74,13.085,96.239,26.931,63.034,3.358,13.037,337.453,2835,PRAD,D1D2_ref,0.033,0.008,0.083,0.013,0.01,0.002,0.33,0.076,0.147,0.066,0.099,0.033,0.016,0.042,0.035,0.008,0.041,0.023,0.165
TCGA-2A-A8VX-01A,1.0,12.414,13.437,4.108,45.474,1.0,20.351,583.488,2836,PRAD,D1D2_ref,0.046,0.034,0.091,0.006,0.002,0.022,0.392,0.063,0.057,0.054,0.125,0.041,0.018,0.026,0.018,0.006,0.08,0.008,0.179
TCGA-KK-A8I4-01A,24.846,25.682,153.025,48.603,40.054,12.331,13.125,346.896,2837,PRAD,D1D2_ref,0.036,0.016,0.086,0.02,0.028,0.0,0.019,0.095,0.199,0.094,0.23,0.032,0.013,0.03,0.079,0.022,0.052,0.048,0.324
TCGA-KK-A8IA-01A,2.385,18.426,36.966,6.938,75.62,1.949,23.497,425.518,2838,PRAD,D1D2_ref,0.054,0.016,0.089,0.015,0.003,0.005,0.434,0.075,0.059,0.054,0.071,0.05,0.009,0.033,0.03,0.003,0.07,0.018,0.125
TCGA-Y6-A9XI-01A,3.197,15.378,71.956,12.898,58.232,1.972,27.097,387.1,2839,PRAD,D1D2_ref,0.041,0.012,0.084,0.008,0.004,0.005,0.35,0.092,0.12,0.055,0.091,0.04,0.016,0.035,0.039,0.007,0.053000000000000005,0.012,0.146
TCGA-VN-A88I-01A,5.613,11.555,129.467,31.889,70.083,6.899,15.759,307.194,2840,PRAD,D1D2_ref,0.017,0.032,0.093,0.006,0.009,0.001,0.0,0.065,0.184,0.093,0.323,0.028,0.015,0.05,0.063,0.019,0.049,0.015,0.41600000000000004
TCGA-M7-A71Z-01A,1.0,13.916,25.16,4.943,18.342,1.0,6.08,478.662,2841,PRAD,D1D2_ref,0.046,0.022,0.095,0.003,0.004,0.022,0.462,0.093,0.045,0.059,0.043,0.03,0.03,0.023,0.021,0.002,0.068,0.007,0.102
TCGA-EJ-A46E-01A,3.005,17.128,38.136,20.748,69.016,3.381,21.726,727.464,2842,PRAD,D1D2_ref,0.03,0.01,0.065,0.011,0.021,0.001,0.145,0.107,0.136,0.068,0.215,0.017,0.017,0.048,0.101,0.009,0.04,0.032,0.28300000000000003
TCGA-CH-5788-01A,1.952,10.136,29.509,9.591,37.53,1.0,24.959,672.031,2843,PRAD,D1D2_ref,0.057,0.016,0.073,0.004,0.006,0.012,0.456,0.078,0.041,0.067,0.05,0.053,0.009,0.024,0.051,0.003,0.07300000000000001,0.01,0.117
TCGA-KK-A7AU-01A,1.459,12.939,46.182,7.103,82.753,3.161,14.201,465.125,2844,PRAD,D1D2_ref,0.041,0.015,0.088,0.014,0.005,0.003,0.45,0.099,0.059,0.047,0.053,0.027,0.018,0.047,0.032,0.003,0.056,0.019,0.1
TCGA-EJ-5531-01A,10.554,16.543,63.35,44.001,57.761,7.038,10.855,551.522,2845,PRAD,D1D2_ref,0.04,0.014,0.091,0.015,0.011,0.001,0.256,0.091,0.104,0.066,0.147,0.042,0.013,0.032,0.059,0.018,0.054,0.026,0.213
TCGA-VN-A88K-01A,4.223,19.187,164.523,16.106,97.907,5.763,24.471,471.004,2846,PRAD,D1D2_ref,0.033,0.012,0.091,0.009,0.007,0.004,0.232,0.082,0.166,0.073,0.162,0.036,0.017,0.04,0.029,0.007,0.045,0.016,0.235
TCGA-VN-A88M-01A,1.585,12.895,36.942,6.159,37.579,1.664,14.809,703.402,2847,PRAD,D1D2_ref,0.062,0.008,0.081,0.006,0.003,0.013,0.439,0.072,0.086,0.052,0.061,0.032,0.032,0.025,0.024,0.005,0.07,0.009000000000000001,0.11299999999999999
TCGA-EJ-5506-01A,4.385,17.309,27.835,13.061,129.658,2.405,20.052,414.95,2848,PRAD,D1D2_ref,0.028,0.018,0.094,0.008,0.018,0.002,0.32,0.07,0.068,0.065,0.13,0.026,0.016,0.039,0.085,0.011,0.046,0.026,0.195
TCGA-XK-AAJU-01A,3.602,11.979,52.791,19.38,40.648,6.373,17.788,455.559,2849,PRAD,D1D2_ref,0.044,0.011,0.069,0.023,0.009,0.001,0.173,0.109,0.15,0.06,0.179,0.022,0.017,0.056,0.068,0.008,0.05499999999999999,0.032,0.239
TCGA-YL-A8SI-01A,5.418,7.606,66.578,26.013,45.219,2.517,18.212,428.056,2850,PRAD,D1D2_ref,0.03,0.02,0.104,0.005,0.006,0.004,0.085,0.082,0.185,0.081,0.243,0.048,0.016,0.036,0.042,0.012,0.05,0.011,0.324
TCGA-G9-6499-01A,2.59,13.019,29.108,14.844,18.629,3.252,10.245,609.196,2851,PRAD,D1D2_ref,0.05,0.018,0.076,0.006,0.01,0.003,0.289,0.126,0.117,0.056,0.107,0.034,0.016,0.035,0.054,0.005,0.068,0.016,0.163
TCGA-QU-A6IL-01A,1.183,22.545,38.236,16.912,19.07,3.816,10.178,1069.142,2852,PRAD,D1D2_ref,0.057,0.02,0.078,0.022,0.006,0.006,0.299,0.074,0.147,0.042,0.107,0.035,0.035,0.032,0.035,0.005,0.077,0.027999999999999997,0.149
TCGA-J4-A67Q-01A,2.711,13.115,67.475,45.889,24.83,5.254,6.482,673.518,2853,PRAD,D1D2_ref,0.027,0.04,0.093,0.008,0.004,0.002,0.0,0.096,0.205,0.084,0.296,0.043,0.024,0.042,0.025,0.009,0.067,0.012,0.38
TCGA-G9-6361-01A,1.88,4.531,78.212,6.44,37.811,2.094,19.423,424.662,2854,PRAD,D1D2_ref,0.034,0.025,0.111,0.014,0.007,0.003,0.004,0.086,0.202,0.08,0.287,0.046,0.018,0.044,0.03,0.008,0.059000000000000004,0.021,0.367
TCGA-VN-A88L-01A,1.167,10.091,100.924,11.573,31.521,1.967,15.983,544.102,2855,PRAD,D1D2_ref,0.041,0.013,0.074,0.006,0.005,0.004,0.157,0.097,0.171,0.078,0.221,0.036,0.013,0.029,0.049,0.006,0.054,0.011,0.299
TCGA-KK-A8I9-01A,6.769,40.265,158.576,32.947,44.534,7.115,30.249,571.493,2856,PRAD,D1D2_ref,0.032,0.009,0.08,0.012,0.01,0.001,0.182,0.105,0.203,0.07,0.124,0.037,0.017,0.053,0.055,0.012,0.041,0.022,0.194
TCGA-V1-A9ZG-01A,3.213,8.217,146.041,21.088,50.596,3.644,10.406,656.938,2857,PRAD,D1D2_ref,0.03,0.016,0.113,0.003,0.018,0.004,0.169,0.088,0.154,0.087,0.152,0.041,0.02,0.041,0.055,0.008,0.046,0.020999999999999998,0.239
TCGA-V1-A9OX-01A,5.048,12.159,52.965,16.165,34.494,5.144,12.013,434.861,2858,PRAD,D1D2_ref,0.04,0.014,0.081,0.011,0.006,0.003,0.291,0.112,0.126,0.065,0.113,0.04,0.019,0.039,0.036,0.005,0.054,0.017,0.178
TCGA-G9-6373-01A,5.756,7.905,56.083,13.58,25.186,2.646,12.701,484.807,2859,PRAD,D1D2_ref,0.037,0.013,0.101,0.012,0.004,0.006,0.223,0.085,0.138,0.081,0.173,0.05,0.024,0.02,0.028,0.006,0.049999999999999996,0.016,0.254
TCGA-VP-A878-01A,3.88,11.086,141.444,32.705,41.405,4.049,18.396,515.119,2860,PRAD,D1D2_ref,0.032,0.011,0.075,0.007,0.012,0.001,0.148,0.123,0.192,0.072,0.167,0.034,0.016,0.046,0.056,0.009,0.043,0.019,0.239
TCGA-YL-A8SB-01A,3.507,8.165,107.436,25.277,41.999,3.545,12.56,279.727,2861,PRAD,D1D2_ref,0.032,0.024,0.097,0.006,0.01,0.004,0.12,0.076,0.161,0.094,0.223,0.049,0.016,0.036,0.042,0.013,0.056,0.016,0.317
TCGA-EJ-A7NN-01A,5.164,56.256,101.059,28.846,59.314,2.746,20.343,617.599,2862,PRAD,D1D2_ref,0.059,0.013,0.091,0.021,0.005,0.001,0.214,0.091,0.156,0.053,0.137,0.035,0.023,0.038,0.054,0.009,0.072,0.026000000000000002,0.19
TCGA-HC-7212-01A,4.918,11.277,135.561,13.965,77.598,1.713,18.858,582.76,2863,PRAD,D1D2_ref,0.026,0.011,0.093,0.004,0.013,0.003,0.291,0.078,0.13,0.065,0.124,0.048,0.013,0.042,0.046,0.012,0.037,0.017,0.189
TCGA-V1-A9O5-01A,25.132,43.201,74.997,33.77,70.946,8.431,12.9,546.237,2864,PRAD,D1D2_ref,0.023,0.015,0.08,0.023,0.023,0.002,0.265,0.107,0.092,0.073,0.13,0.047,0.01,0.06,0.045,0.005,0.038,0.046,0.203
TCGA-HC-A8D0-01A,6.419,9.9,63.072,23.09,47.004,3.919,11.681,303.469,2865,PRAD,D1D2_ref,0.025,0.023,0.101,0.009,0.003,0.006,0.269,0.108,0.114,0.076,0.139,0.038,0.016,0.04,0.029,0.004,0.048,0.012,0.21500000000000002
TCGA-2A-A8VT-01A,3.473,31.331,56.963,18.13,46.371,4.684,23.283,485.418,2866,PRAD,D1D2_ref,0.046,0.007,0.081,0.027,0.008,0.002,0.368,0.085,0.09,0.049,0.059,0.036,0.01,0.054,0.072,0.004,0.053,0.035,0.108
TCGA-ZG-A9LB-01A,2.437,11.042,23.361,21.202,22.393,3.978,5.91,325.975,2867,PRAD,D1D2_ref,0.031,0.006,0.088,0.013,0.014,0.018,0.362,0.092,0.087,0.062,0.11,0.049,0.037,0.011,0.014,0.008,0.037,0.027,0.172
TCGA-HC-7079-01A,69.84,73.807,87.862,119.199,39.979,41.384,24.429,295.374,2868,PRAD,D1D2_ref,0.049,0.074,0.095,0.042,0.022,0.0,0.116,0.084,0.113,0.104,0.077,0.063,0.012,0.004,0.114,0.03,0.123,0.064,0.181
TCGA-HC-A6AP-01A,2.37,12.191,93.973,56.097,31.245,6.663,10.579,848.555,2869,PRAD,D1D2_ref,0.043,0.022,0.09,0.016,0.004,0.002,0.13,0.109,0.17,0.067,0.184,0.06,0.024,0.042,0.029,0.007,0.065,0.02,0.251
TCGA-KC-A4BR-01A,2.315,14.28,76.285,19.779,27.898,2.192,13.492,335.935,2870,PRAD,D1D2_ref,0.034,0.011,0.097,0.011,0.019,0.001,0.0,0.099,0.225,0.074,0.285,0.017,0.014,0.038,0.062,0.013,0.045,0.03,0.359
TCGA-V1-A9OA-01A,4.252,6.638,63.272,14.033,76.265,2.498,17.645,257.201,2871,PRAD,D1D2_ref,0.027,0.026,0.098,0.005,0.007,0.021,0.176,0.098,0.126,0.091,0.203,0.036,0.01,0.032,0.038,0.006,0.053,0.012,0.29400000000000004
TCGA-EJ-A46H-01A,20.041,11.812,145.146,26.996,69.448,8.593,17.086,890.903,2872,PRAD,D1D2_ref,0.034,0.006,0.079,0.019,0.039,0.001,0.0,0.067,0.184,0.081,0.27,0.02,0.016,0.042,0.099,0.042,0.04,0.057999999999999996,0.35100000000000003
TCGA-EJ-5507-01A,8.333,15.485,62.06,16.628,36.526,3.84,24.079,808.747,2873,PRAD,D1D2_ref,0.044,0.011,0.094,0.03,0.011,0.001,0.287,0.084,0.103,0.058,0.127,0.045,0.009,0.036,0.045,0.017,0.05499999999999999,0.040999999999999995,0.185
TCGA-KK-A8ID-01A,2.598,8.759,34.932,9.741,92.738,2.235,16.038,611.557,2874,PRAD,D1D2_ref,0.057,0.011,0.093,0.011,0.007,0.007,0.416,0.075,0.085,0.037,0.074,0.031,0.012,0.042,0.038,0.004,0.068,0.018,0.11099999999999999
TCGA-XK-AAJR-01A,1.355,6.36,192.352,17.655,60.468,1.674,17.214,828.382,2875,PRAD,D1D2_ref,0.034,0.016,0.08,0.012,0.005,0.002,0.202,0.108,0.16,0.055,0.186,0.033,0.021,0.046,0.033,0.006,0.05,0.017,0.241
TCGA-HC-7750-01A,3.452,5.603,60.244,12.187,40.444,2.309,9.421,469.972,2876,PRAD,D1D2_ref,0.033,0.029,0.096,0.008,0.006,0.003,0.0,0.099,0.176,0.08,0.312,0.04,0.016,0.046,0.043,0.013,0.062,0.014,0.392
TCGA-G9-6347-01A,3.094,32.532,74.739,45.652,15.41,15.697,5.542,542.46,2877,PRAD,D1D2_ref,0.031,0.029,0.102,0.015,0.003,0.001,0.0,0.091,0.161,0.075,0.322,0.055,0.033,0.056,0.017,0.01,0.06,0.018,0.397
TCGA-EJ-5522-01A,16.259,11.743,54.278,15.789,71.357,5.244,16.915,430.146,2878,PRAD,D1D2_ref,0.032,0.01,0.108,0.019,0.018,0.001,0.258,0.095,0.092,0.067,0.138,0.028,0.014,0.039,0.069,0.011,0.042,0.037,0.20500000000000002
TCGA-HC-A631-01A,1.213,5.545,28.224,5.687,30.102,1.977,34.683,447.364,2879,PRAD,D1D2_ref,0.038,0.036,0.096,0.006,0.005,0.006,0.426,0.078,0.051,0.053,0.081,0.046,0.012,0.037,0.024,0.006,0.074,0.011,0.134
