,Non-plasma B cells,Plasma B cells,CD4 T,CD8 T (GZMK high),CD8 T effector,DC,Endothelial Cells,Cancer Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Double-neg-like T,Monocytes
AATF,-0.0270409,-0.181563,0.319217,0.101857,0.490694,-0.0860549,0,0,0,0,-0.141896,-0.168649,0.216411,0,-0.0406996,-0.127988
AATK,-0.0809712,-0.0821219,-0.082062,-0.0855653,0,-0.0807154,0,0,0,0,-0.0142449,-0.0753678,-0.0730994,0.955362,-0.0787268,-0.0255129
ABCA1,-0.153065,-0.159276,-0.167802,-0.176386,0,-0.0776118,0,0,0,0,0.605925,0.298376,-0.167116,0,-0.172548,0.08665
ABCA10,-0.0750333,-0.0179752,-0.0775395,-0.0782086,0,-0.0819802,0,0,0.841406,0,-0.0762412,-0.0730201,-0.0699004,0,-0.0627529,-0.0787265
ABCA2,-0.231478,-0.207905,0.0152579,0.0964301,0,-0.12393,0,0,0,0,-0.146249,-0.203521,0.354562,0,-0.0694226,-0.187759
ABCA5,-0.186822,0.393238,-0.0737506,0.0182728,0,-0.161819,0,0,0,0,-0.200339,0.048688,0.0758617,0,-0.0445587,-0.267694
ABCA6,-0.025572,-0.0398001,-0.0905507,-0.0909574,0,0.0163539,0,0,0.941011,0,-0.0603109,-0.0908128,-0.0873785,0,-0.0927116,-0.0787655
ABCA7,-0.0872498,-0.0630891,-0.0802998,-0.037595,0,-0.0248213,0,0,0,0,-0.0700815,-0.0679198,-0.0311576,0.909365,-0.0529844,0.0114725
ABCA8,-0.0867123,-0.085272,-0.0880373,-0.0878942,0,-0.0769773,0,0,0.915992,0,-0.0792654,-0.0856935,-0.0842633,0,-0.0882491,-0.0841025
ABCA9,-0.0752433,-0.0591474,-0.0749488,-0.0801488,0,-0.0641259,0,0,0.907868,0,-0.0676807,-0.0775205,-0.0746206,0,-0.0794027,-0.0653821
ABCB1,-0.0824845,-0.105563,-0.114237,0.0522841,0,-0.130807,0.77974,0,0,0,-0.142161,-0.123725,0.259912,0,-0.0641186,-0.136743
ABCB4,0.818257,-0.0832253,-0.105162,-0.0972758,0,0.0758129,0,0,0,0,0.0466396,-0.102168,-0.100293,0,-0.104413,-0.0909403
ABCB8,-0.128461,0.0726232,0.0507262,-0.0704426,0,-0.0557405,0,0,0,0,-0.0539527,0.657289,0.0410452,0,-0.075743,-0.165768
ABCB9,-0.0849109,0.805841,-0.0561117,-0.0774164,0,-0.064904,0,0,0,0,-0.0631311,-0.0989414,-0.0440559,0,-0.084457,-0.0879565
ABCC1,-0.15703,-0.175311,0.0825223,0.0163201,0,-0.0428926,0,0,0,0,-0.00842362,0.525445,-0.12177,0,0.0240798,0.00661132
ABCC11,-0.0574109,-0.0595209,-0.0333086,-0.0571628,0,-0.0193786,0,0.638528,0,0,-0.0391323,-0.02654,-0.0333553,0,-0.0618676,-0.0436644
ABCC3,-0.111601,-0.124938,-0.138815,-0.141946,0,-0.0221845,0,0.835861,0,0,0.228524,-0.156814,-0.135974,0,-0.132865,0.035501
ABCC4,-0.142231,0.0536263,-0.120814,-0.130502,0,-0.078772,0,0,0,0,0.0359157,0.675683,-0.124879,0,-0.129643,-0.138026
ABCC5,-0.187636,-0.167875,-0.103902,-0.126347,0,-0.13807,0,0,0,0,0.419572,-0.0595143,-0.0131735,0,-0.144829,-0.0922503
ABCC9,-0.0957404,-0.0844676,-0.0865188,-0.100672,0,-0.0851095,0,0,0,0.899688,-0.0815942,-0.0915365,-0.0898536,0,-0.102814,-0.0899828
ABCD1,-0.145604,-0.123426,-0.100307,-0.172762,0,0.108151,0,0,0,0,0.337641,-0.122599,-0.122435,0,-0.12166,0.335132
ABCD2,-0.0949767,0.0410965,0.16235,0.225552,0.478412,-0.0580291,0,0,0,0,-0.134436,-0.156297,0.0601696,0,0.211408,-0.137954
ABCD4,-0.0229819,-0.0969413,0.0841223,0.0386873,0,-0.114927,0.780436,0,0,0,-0.0256202,-0.162377,0.0196615,0,-0.0562816,-0.228356
ABCG1,-0.0980955,-0.170588,0.0318762,0.0192464,0,-0.0720182,0,0,0,0,0.371648,-0.136785,-0.12144,0,-0.0887665,-0.147772
ABCG2,-0.073225,-0.0638165,-0.0700348,-0.0713435,0,-0.0692449,0.933124,0,0,0,-0.0228096,-0.0719098,-0.0696803,0,-0.0705999,-0.0657462
ABHD11,-0.128317,-0.0140636,-0.0590981,-0.126458,0,-0.0492381,0,0.728728,0,0,0.267702,-0.0244226,-0.0875318,0,-0.16432,-0.112252
ABHD12,-0.229117,0.0670809,-0.0298065,-0.134803,0,0.186667,0,0,0,0,0.716234,-0.141855,-0.0830868,0,-0.184586,-0.0873448
ABHD14A,-0.165486,0.608922,0.2264,0.160175,0,-0.205873,0,0,0,0,-0.172237,0.0535561,0.0861084,0,0.076295,-0.286393
ABHD14A-ACY1,-0.0783591,-0.0605461,0.339535,-0.0909644,0.63184,-0.0263142,0,0,0,0,-0.0559872,-0.107898,0.0876586,0,-0.0930781,-0.0898627
ABHD14B,0.309001,-0.150349,0.261526,0.212014,0,-0.15199,0,0,0,0,-0.220594,0.0669879,0.112629,0,0.329693,-0.279093
ABHD15,0.127766,-0.109369,-0.0280915,0.0372342,0,0.380215,0,0,0,0,0.21991,-0.137632,0.383179,0,-0.0443623,-0.141406
ABHD17A,-0.16458,-0.146259,0.0593966,0.198716,0,-0.151735,0,0,0,0,-0.0978682,-0.199468,0.821436,0,-0.00548497,-0.11016
ABHD17B,0.0449611,-0.141575,0.0279181,0.202827,0,-0.133894,0,0,0,0,-0.164691,0.603562,0.157567,0,-0.0591887,-0.157491
ABHD17C,-0.145213,-0.136728,-0.119749,-0.0948554,0,-0.0461018,0,0.72869,0,0,-0.0908023,0.0654013,-0.0833867,0,-0.132408,0.0293451
ABHD2,-0.158241,-0.145371,-0.127872,-0.137392,0,-0.0937149,0,0,0,0,0.00391371,-0.0232745,-0.0634406,0.911014,-0.146834,-0.0360065
ABHD5,-0.100163,-0.0578048,-0.0804272,-0.0784472,0,-0.0899889,0,0,0,0,0.024324,-0.103144,-0.0912997,0.959258,-0.104435,0.0517704
ABHD8,-0.0793084,0.458232,0.0180413,-0.195935,0,0.0945294,0,0,0,0,0.232124,0.0936268,-0.105143,0,-0.149531,0.000211443
ABI2,-0.193767,-0.196455,0.010708,-0.131616,0,-0.039585,0,0,0,0.563728,-0.00814528,-0.0675565,-0.11042,0,-0.140929,-0.193141
ABI3,-0.0331575,-0.220181,0.0850791,0.118483,0.473579,0.142208,0,0,0,0,0.135083,-0.260661,0.524532,0,-0.163245,0.0464363
ABI3BP,-0.0846282,-0.0788627,-0.0847048,-0.0819662,0,-0.079869,0,0,0.943587,0,-0.0813304,-0.0813603,-0.0845604,0,-0.085203,-0.083483
ABL1,-0.172595,-0.219011,-0.134605,-0.0232643,0,-0.045541,0,0,0.531321,0,0.0280014,-0.15348,-0.0498207,0,-0.141027,-0.0842509
ABL2,-0.17093,-0.136598,-0.172619,-0.158079,0,0.0256117,0.741008,0,0,0,0.383699,-0.130273,-0.171976,0,-0.158497,0.0301719
ABLIM1,0.01135,-0.182255,-0.0414551,0.0866553,0,-0.186655,0.753392,0,0,0,-0.208572,-0.220788,0.0747197,0,0.168121,-0.199964
ABLIM2,-0.100757,-0.101472,-0.0937212,-0.0628197,0,-0.102724,0.749046,0,0,0,-0.091393,-0.100356,-0.0850686,0,-0.0734059,-0.103139
ABLIM3,-0.121779,-0.10889,-0.119574,-0.128647,0,-0.0944278,0.787322,0,0,0,0.0468292,-0.117183,-0.127181,0,-0.123684,-0.0923377
ABR,-0.207994,-0.271405,-0.127928,-0.0779468,0,0.0279885,0,0,0,0,0.378199,-0.162523,-0.0709587,0,-0.157481,0.0777679
ABRACL,-0.121942,-0.158098,0.404004,0.134508,0.608018,0.0108581,0,0,0,0,-0.108381,0.136058,0.134505,0,0.13412,0.0773513
ABT1,0.124659,-0.0972756,0.354143,0.252123,0,-0.176005,0,0,0,0,-0.266064,-0.102553,0.281816,0,0.0752032,-0.22551
ABTB1,-0.075512,-0.0814607,-0.0430595,-0.0617451,0,-0.0875809,0,0,0,0,-0.0814564,-0.0865035,-0.0481434,0.989982,-0.0632279,-0.0434308
AC002398.9,-0.0745639,0.0514402,0.128064,-0.127417,0.531834,0.246699,0,0,0,0,0.0758241,-0.137652,0.097527,0,-0.139353,-0.0203286
AC002985.3,-0.0373352,-0.0599869,0.231349,-0.13768,0.649999,0.242362,0,0,0,0,0.00877237,-0.144009,0.126661,0,-0.146886,-0.0493132
AC003002.4,0.0131859,-0.0276977,0.156804,-0.082498,0.434911,0.0702495,0,0,0,0,0.00796249,-0.0856715,0.0715597,0,-0.0891631,-0.0572239
AC004381.6,-0.0321579,-0.0741532,-0.0393157,-0.0723734,0,-0.0295612,0,0,0,0,-0.0521464,0.684003,-0.0563792,0,-0.0904555,-0.10262
AC004813.1,-0.026943,-0.0601448,0.0915912,-0.0989917,0.496424,0.0944989,0,0,0,0,0.0776359,-0.105202,0.10209,0,-0.108116,0.048465
AC005480.1,0.000377115,-0.0376323,0.172065,-0.128818,0.696952,0.157622,0,0,0,0,-0.00962126,-0.163749,0.185748,0,-0.123041,-0.0459695
AC006386.1,-0.0270346,-0.0527595,0.198019,-0.144727,0.778648,0.191557,0,0,0,0,-0.0129338,-0.160034,0.183834,0,-0.162499,-0.0591735
AC006547.14,-0.0464164,-0.0400148,-0.0442222,-0.0468277,0,-0.0455177,0.526352,0,0,0,-0.0413365,-0.0447032,-0.0430712,0,-0.0468592,-0.0416368
AC007906.1,0.0328292,-0.0518048,-0.0118113,-0.0737489,0,0.123143,0,0,0,0,0.0710355,-0.0775612,0.325439,0,-0.0813242,-0.0392073
AC008810.1,0.00846089,-0.066852,0.0835307,-0.0890625,0.546715,0.136211,0,0,0,0,0.0778781,-0.116198,0.05033,0,-0.118954,0.0367736
AC009022.1,0.013099,-0.0393014,0.0640766,-0.0793708,0.505066,0.0913822,0,0,0,0,0.0589884,-0.09996,0.0422386,0,-0.102678,0.0188136
AC009060.2,-0.0265057,-0.0792234,0.0867602,-0.102087,0.554192,0.124377,0,0,0,0,0.0614456,-0.115281,0.0895592,0,-0.117795,0.0732432
AC015688.3,-0.0322439,-0.09983,0.0187785,-0.0963759,0,0.522334,0,0,0,0,0.113734,-0.0974156,0.000564743,0,-0.0987627,0.126089
AC016142.1,0.00881811,-0.0703932,0.0837334,-0.0927728,0.564451,0.125297,0,0,0,0,0.068433,-0.117804,0.061189,0,-0.120157,0.0484439
AC016549.1,0.137958,-0.0218852,-0.136471,-0.0911588,0,0.102244,0,0,0,0,-0.0197527,0.435002,-0.0270415,0,-0.137438,0.0542916
AC017081.1,-0.0249471,-0.0807368,0.0797404,-0.10033,0.557009,0.126928,0,0,0,0,0.062734,-0.111344,0.0684569,0,-0.113794,0.0728071
AC024592.12,-0.0631441,0.00498231,0.2483,-0.144393,0.598218,0.248706,0,0,0,0,0.0572201,-0.154568,0.0701518,0,-0.154764,-0.0449206
AC055733.1,0.00666195,-0.0697782,0.080741,-0.0804774,0.516188,0.107826,0,0,0,0,0.0712322,-0.105104,0.0493041,0,-0.106922,0.0264876
AC068533.7,-0.0379344,-0.0549921,0.13969,-0.0906094,0.457802,0.0706239,0,0,0,0,0.00513805,-0.0963069,0.160686,0,-0.0997357,-0.0392127
AC073333.1,-0.0208032,-0.0693314,0.0962034,-0.0956251,0.501799,0.0973251,0,0,0,0,0.0919015,-0.102893,0.0562453,0,-0.106528,0.0535933
AC073610.5,-0.0907958,0.463063,-0.0344693,-0.0977896,0.540119,-0.0202883,0,0,0,0,-0.0749956,-0.109837,0.154826,0,-0.111379,-0.0960773
AC090154.1,-0.00783824,-0.0801034,0.110408,-0.0952932,0.512491,0.118456,0,0,0,0,0.0326326,-0.0975934,0.0359243,0,-0.0985322,0.0413072
AC104532.2,-0.0206334,0.0088927,0.0191913,0.0331619,0,-0.0410487,0,0,0,0,0.320022,-0.0491068,-0.0166215,0,0.0445655,-0.0690217
AC104534.3,-0.0430572,-0.0659202,0.301916,-0.13571,0.645583,0.145688,0,0,0,0,-0.015357,-0.146815,0.152245,0,-0.148693,-0.0765283
AC104981.1,0.00851498,-0.0760586,0.0892043,-0.0904806,0.560676,0.120922,0,0,0,0,0.0697995,-0.116866,0.0619762,0,-0.119251,0.0449383
AC108938.5,-0.100776,-0.107476,0.189517,-0.117676,0.471335,0.369539,0,0,0,0,0.153132,-0.118272,-0.0673626,0,-0.120098,0.0251426
AC109829.2,0.0139499,-0.078941,0.0943532,-0.0921177,0.550789,0.124015,0,0,0,0,0.0720316,-0.118225,0.0611978,0,-0.120402,0.0551631
AC138969.4,-0.0354472,-0.0852821,0.0818943,-0.0218652,0.447133,0.112279,0,0,0,0,-0.0136176,-0.0675889,0.160026,0,-0.0820314,-0.0103548
AC241377.2,0.300987,-0.0202484,0.0279966,0.06433,0,-0.0335995,0,0,0,0,-0.0620887,-0.0624268,-0.0177695,0,0.0984107,-0.0243757
AC243945.1,-0.0158015,-0.0841621,0.10089,-0.100658,0.60021,0.114532,0,0,0,0,0.0785227,-0.120151,0.0875049,0,-0.123594,0.0415333
AC245100.1,0.371357,-0.183021,0.120501,0.295238,0,-0.113977,0,0,0,0,-0.181402,-0.109405,0.26074,0,0.341477,-0.107043
ACAA2,-0.173586,-0.100795,0.237256,-0.0388831,0.470506,-0.02823,0,0,0,0,0.0962483,-0.140372,0.500529,0,-0.15303,-0.0565248
ACACA,-0.11087,-0.116231,-0.0844208,-0.0479218,0,-0.0648338,0,0.802678,0,0,-0.042432,0.0521011,-0.0210997,0,-0.0958886,-0.0943184
ACACB,-0.110244,-0.0301306,-0.108512,-0.0677467,0,-0.108023,0.825547,0,0,0,-0.0887935,-0.104206,-0.114363,0,-0.0665792,-0.0961635
ACADM,0.297523,0.340578,0.0342572,-0.130531,0,-0.000991455,0,0,0,0,0.0149201,-0.0132617,0.0691691,0,-0.18366,-0.236324
ACADVL,-0.295583,0.641502,0.0256607,-0.230176,0,0.0156514,0,0,0,0,-0.0392338,-0.0510239,-0.0335564,0,-0.300446,-0.0409516
ACAN,-0.0682189,-0.0669492,-0.06699,-0.064483,0,-0.0643479,0,0,0,0.908461,-0.0639799,-0.0640585,-0.0658836,0,-0.0668598,-0.060989
ACAP1,0.134872,-0.119752,0.294031,0.407165,0,-0.147484,0,0,0,0,-0.244576,-0.198461,0.234308,0,0.273909,-0.205063
ACAP2,-0.0718723,-0.141157,-0.0669653,-0.0865448,0,-0.0629819,0,0,0,0,0.0190505,-0.108658,-0.047244,0.954586,-0.10261,0.0854041
ACAP3,-0.167184,0.306879,-0.0876899,-0.0359517,0,-0.122611,0,0,0,0,-0.127196,-0.141663,-0.0497121,0,-0.093759,0.0419166
ACBD3,-0.152114,0.507593,-0.204999,-0.151499,0,-0.178832,0,0,0,0,0.152333,0.0889356,-0.16328,0,-0.25574,-0.075384
ACBD4,0.0606128,0.307336,0.100873,-0.0379181,0,-0.146241,0,0,0,0,-0.111684,0.0814562,0.0059096,0,0.0146839,-0.200306
ACBD5,-0.251206,-0.0422902,-0.0279959,-0.0659089,0,-0.071947,0,0,0,0,0.397728,-0.209032,0.0933332,0,-0.169974,-0.00470994
ACE,-0.0924138,-0.0860901,-0.0915616,-0.077754,0,-0.0699743,0.913936,0,0,0,0.145929,-0.0397213,-0.0876022,0,-0.0537746,-0.0760179
ACE2,-0.0609717,-0.0689906,-0.0669877,-0.0717715,0,-0.0551684,0,0,0,0.670463,-0.0595898,-0.0675488,-0.0520202,0,-0.0628664,-0.0655517
ACER3,-0.190175,-0.177591,-0.173427,-0.167403,0,0.177132,0,0,0,0,0.421218,0.652798,-0.17618,0,-0.19706,0.238241
ACIN1,-0.130175,-0.178988,-0.0520106,-0.0400891,0,-0.108443,0,0,0,0,0.0307149,-0.135,-0.0212351,0.815774,-0.123244,-0.0929735
ACKR1,-0.0656181,-0.0549698,-0.0643065,-0.0621202,0,-0.0619608,0.918353,0,0,0,-0.0628599,-0.0594323,-0.0627122,0,-0.064462,-0.0573809
ACKR2,-0.0690217,-0.0521903,-0.0657023,-0.0712305,0,-0.0641433,0,0,0,0,0.0939321,0.650043,-0.0337294,0,-0.0764991,-0.0701886
ACKR3,-0.132963,-0.129374,-0.131701,-0.138769,0,-0.108417,0.687581,0,0,0,0.0176625,-0.137754,-0.117791,0,-0.131855,0.0612606
ACN9,0.0131816,0.018694,-0.184638,-0.211101,0,-0.053484,0,0,0,0.458626,-0.166148,-0.166345,-0.089542,0,-0.117574,-0.107456
ACO1,-0.159493,-0.0812487,-0.18181,-0.133897,0,-0.166525,0,0,0.497213,0,0.170997,-0.0695598,-0.0802751,0,-0.145497,-0.128513
ACO2,0.205446,0.357876,0.204866,-0.0874826,0,0.121225,0,0,0,0,-0.0456268,-0.198303,-0.0288069,0,-0.187437,-0.130347
ACOT11,-0.156669,-0.152569,-0.116534,-0.144275,0,0.0626562,0,0,0,0,0.452799,0.402076,-0.130719,0,-0.137402,-0.0694768
ACOT13,-0.23759,0.229327,-0.0431197,-0.181675,0,-0.0185266,0,0,0,0,0.347203,0.0272622,-0.102185,0,-0.201504,-0.224211
ACOT2,-0.101386,-0.157382,0.0815581,-0.116707,0,-0.0577852,0,0,0,0.537349,0.0532074,-0.117636,0.00522244,0,-0.145764,-0.205006
ACOT4,-0.130589,-0.131582,0.194049,0.0886881,0.447951,-0.131227,0,0,0,0,0.0338024,0.0682217,0.294664,0,-0.0256478,-0.167221
ACOT7,-0.153651,-0.144403,-0.0213324,-0.0960118,0,0.130719,0,0,0,0,-0.0626968,0.858676,-0.0471198,0,-0.13072,-0.153118
ACOT9,-0.224798,-0.245627,0.342979,-0.16739,0,0.321801,0,0,0,0,0.137845,-0.134187,-0.192567,0,-0.261344,0.32489
ACOX1,-0.122125,-0.0842806,-0.0884867,-0.109948,0,-0.0483319,0,0,0,0,-0.0157169,-0.0635235,-0.0914787,0.95124,-0.118867,-0.0121279
ACOX3,-0.0387441,-0.0165893,0.404394,-0.0465549,0,0.0100936,0,0,0,0,-0.0191401,-0.0266657,-0.0529185,0,-0.115631,-0.0724636
ACOXL,-0.0787673,0.787593,-0.0204713,-0.0743748,0,-0.0571053,0,0,0,0,-0.0781565,-0.0621509,-0.049845,0,-0.0693453,-0.0789306
ACP2,-0.233664,0.225414,0.0485215,-0.168901,0,-0.0739772,0,0,0,0,0.690355,-0.14812,-0.136595,0,-0.17748,-0.0298553
ACP5,0.0366,-0.109182,0.313629,-0.0969948,0,-0.00623894,0,0,0,0,0.724101,0.066881,0.00439262,0,-0.153895,-0.0091571
ACP6,-0.143564,-0.0456607,0.488881,0.00923271,0,-0.129646,0,0,0,0,-0.11698,-0.151515,-0.0951072,0,0.0568473,-0.198025
ACPP,-0.0966074,-0.0948634,-0.094002,-0.0800132,0,-0.0401881,0,0.790503,0,0,-0.0577541,0.0695716,-0.0866402,0,-0.0925739,-0.0245184
ACR,-0.0575115,-0.0556089,-0.0524139,-0.0560583,0,-0.0544199,0.660221,0,0,0,-0.0533676,-0.0552589,-0.0559508,0,-0.0548201,-0.0449203
ACSF2,0.0576113,-0.0545235,-0.0434489,-0.109528,0,0.404464,0,0,0,0,0.254509,-0.0537808,-0.0360993,0,-0.111568,-0.040881
ACSL1,-0.0853723,-0.0845271,-0.0807343,-0.0867482,0,-0.0608615,0,0,0,0,0.021401,-0.0875924,-0.084664,0.985701,-0.0874692,0.0262938
ACSL4,-0.145838,-0.113507,-0.085225,-0.137145,0,-0.0659316,0,0,0,0,0.0109735,0.779348,-0.134031,0,-0.147427,0.0524608
ACSL6,-0.0890927,-0.138954,0.00819703,0.437893,0,0.0735987,0,0,0,0,-0.00809045,-0.158253,-0.0369685,0,0.500041,-0.0974979
ACSM1,-0.0608178,-0.0798045,-0.0734032,-0.0690631,0,-0.0385209,0,0.730387,0,0,-0.0407963,0.0707398,-0.0797514,0,-0.0632074,-0.062467
ACSM3,0.172666,0.0751483,-0.0932389,-0.115081,0,0.0871886,0,0,0,0,-0.0520804,0.32089,-0.0603305,0,-0.0110342,-0.0559246
ACSM5,-0.0774151,-0.0745747,-0.0691435,-0.068688,0,-0.0431876,0,0,0,0,0.840589,-0.0740264,-0.077757,0,-0.0750848,-0.0720657
ACSS1,0.149256,0.539144,0.0548784,0.138868,0,-0.156118,0,0,0,0,-0.133198,-0.181741,0.254085,0,-0.0255147,-0.160427
ACSS3,-0.0896507,-0.0836269,-0.0898681,-0.0844494,0,-0.0798978,0,0,0.488411,0,-0.0388684,-0.0757937,-0.0908884,0,-0.0862596,-0.0809069
ACTA1,-0.0597456,-0.144198,0.201046,-0.137518,0.578272,0.407465,0,0,0,0,0.0469579,-0.153225,0.0536457,0,-0.150256,-0.0309047
ACTA2,-0.0853129,-0.0856532,-0.0785129,-0.0842634,0,-0.0836891,0,0,0,0.950468,-0.0836487,-0.083997,-0.0837518,0,-0.0868615,-0.0813198
ACTB,-0.0299007,-0.411933,0.333736,-0.0871728,0,0.378847,0,0,0,0,-0.0155411,-0.328691,0.142766,0,-0.172546,0.264593
ACTC1,-0.0443985,-0.0416494,-0.0393074,-0.0450354,0,-0.0354084,0,0,0,0.587028,-0.0412516,-0.0432517,-0.0409578,0,-0.0486281,-0.0398626
ACTG1,0.0604316,-0.417296,0.416778,-0.0913473,0.419939,0.189485,0,0,0,0,-0.217289,-0.497764,0.178395,0,-0.153499,-0.108328
ACTG2,-0.0799007,-0.0800843,-0.0343555,-0.0802208,0,-0.0762342,0,0,0,0.922369,-0.0779338,-0.0763108,-0.0795789,0,-0.0806641,-0.0748373
ACTN1,-0.168983,-0.165525,-0.149648,-0.172295,0,-0.0607842,0,0,0,0,-0.0669247,-0.17001,-0.16456,0.818172,-0.134732,-0.00585869
ACTN4,-0.280476,-0.260369,-0.0599159,-0.0669532,0,-0.152865,0.578951,0,0,0,-0.212266,-0.0724638,0.0301789,0,-0.231015,-0.166466
ACTR1B,-0.0512911,-0.119568,0.550202,0.0947572,0,-0.112892,0,0,0,0,-0.215245,-0.133173,0.0760324,0,0.0735643,-0.246461
ACTR2,-0.07782,-0.219295,-0.0349503,-0.0911266,0,0.0815084,0,0,0,0,0.197347,-0.142655,-0.0195353,0.836068,-0.138857,0.255106
ACTR3C,-0.031866,0.34088,0.33542,0.0193802,0,-0.0174113,0,0,0,0,-0.109225,-0.100502,-0.000383376,0,-0.0111914,-0.146954
ACVR1,-0.2009,-0.106656,0.0455085,-0.146116,0,-0.124194,0,0,0.65415,0,-0.00950746,0.0915471,-0.206594,0,-0.10162,-0.0519719
ACVR2A,-0.186527,-0.139668,-0.106223,-0.162091,0,-0.0578261,0,0,0.588244,0,-0.0270883,-0.134935,-0.0654602,0,-0.0215468,-0.0558607
ACVRL1,-0.102261,-0.0967972,-0.100748,-0.102415,0,-0.078884,0.948306,0,0,0,-0.0169628,-0.0984347,-0.0996492,0,-0.103116,-0.0637981
ACY3,0.560232,0.0757417,-0.105907,-0.117252,0,0.0878287,0,0,0,0,0.51376,-0.126955,-0.127713,0,-0.121947,-0.115953
ACYP1,-0.0303492,-0.177665,0.187708,-0.0120888,0.441869,-0.15667,0,0,0,0,-0.204098,-0.0539362,0.100264,0,0.0450499,-0.26226
ACYP2,0.0958818,0.321497,-0.0224947,-0.076096,0,0.0493298,0,0,0,0,0.0376504,-0.0408911,0.0398009,0,-0.0865804,-0.145334
AD000671.6,-0.0684739,0.00508214,0.331167,-0.13476,0.435125,0.359319,0,0,0,0,0.0710009,-0.126468,0.0261414,0,-0.143113,-0.0485633
ADA,-0.0175548,0.201249,0.246285,0.201029,0,0.106082,0,0,0,0,-0.220167,-0.316739,0.307238,0,-0.0620029,-0.0292167
ADAM12,-0.142548,-0.14154,0.184858,-0.13019,0,-0.0789321,0,0,0.66109,0,-0.127287,0.540835,-0.136982,0,-0.0843444,-0.133936
ADAM15,-0.116302,-0.0902569,-0.078892,-0.109417,0,-0.0344358,0.958881,0,0,0,-0.0481784,-0.10936,-0.0863769,0,-0.105392,0.0122609
ADAM19,0.106204,-0.054471,0.14881,-0.0481133,0,0.461333,0,0,0,0,-0.215975,-0.269233,-0.217098,0,-0.0684477,0.195557
ADAM22,-0.0993072,-0.095143,-0.10651,-0.022785,0,-0.0886032,0,0,0.749344,0,-0.0718007,-0.0462275,-0.0215579,0,-0.0785046,-0.0999629
ADAM28,0.810758,0.16774,-0.149501,-0.146669,0,0.0909091,0,0,0,0,0.348443,-0.12236,-0.0868209,0,-0.157838,-0.102482
ADAM33,-0.0902801,-0.083581,-0.089227,-0.0870371,0,-0.0820185,0,0,0.757949,0,-0.0837223,-0.0763741,-0.0899065,0,-0.0921053,-0.0874352
ADAM8,-0.0851771,-0.108721,-0.0566298,-0.0560857,0,-0.00276259,0,0,0,0,-0.0307106,-0.103644,0.0728493,0.964778,-0.0719762,0.00316701
ADAM9,-0.204238,-0.163346,-0.197244,-0.186874,0,-0.0588008,0,0,0,0,0.656971,-0.161108,-0.198892,0,-0.198403,0.090313
ADAMDEC1,-0.0292435,-0.0524875,-0.0759167,-0.0812055,0,0.0527819,0,0,0,0,0.884636,-0.0893457,-0.0905688,0,-0.0880442,0.0148492
ADAMTS1,-0.0997091,-0.0990563,-0.100284,-0.101424,0,-0.096944,0,0,0,0.878032,-0.0977472,-0.0969609,-0.0908245,0,-0.103084,-0.0932947
ADAMTS10,-0.154281,-0.126714,-0.119878,-0.130064,0,-0.0815894,0,0,0,0.749795,0.0301541,-0.0305647,0.0730846,0,-0.08501,-0.133359
ADAMTS12,-0.0927488,-0.0946183,-0.094281,-0.092814,0,-0.0901267,0,0,0.832167,0.424853,-0.090144,-0.091279,-0.092213,0,-0.0937528,-0.0892977
