,Non-plasma B cells,Plasma B cells,CD4 T,CD8 T (GZMK high),CD8 T effector,DC,Endothelial Cells,Cancer Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Double-neg-like T,Monocytes
s_segment_0_1123,0.0004,0.065,0.0001,0,0.0027,0,0.0002,0.3594,0,0.0021,0,0.1051,0.0001,0.0014,0.4634,0.0001
s_segment_0_1128,0,0.0026,0,0.0144,0.0001,0,0,0.5906,0,0.0199,0.042,0.3082,0,0.0222,0,0
s_segment_0_1141,0.1193,0,0.0032,0.0005,0.0002,0.0845,0.0006,0.2745,0.0001,0.2738,0.0505,0,0.0001,0.0001,0.1926,0
s_segment_0_1143,0,0.2664,0,0,0.0081,0.0003,0.2781,0.1807,0.0001,0.248,0,0,0.0008,0,0.0001,0.0174
s_segment_0_1160,0.0028,0,0.0003,0,0.0008,0.0065,0.0134,0.9176,0,0,0,0.058,0.0004,0,0.0001,0.0001
s_segment_0_1167,0,0.0828,0,0.0008,0.0081,0.0005,0.0076,0.2444,0.0043,0.0521,0,0.0001,0,0.0006,0.5283,0.0704
s_segment_0_1194,0.0015,0,0.0056,0.1641,0.0832,0,0,0.3817,0.0009,0.3625,0,0.0002,0.0001,0,0,0.0002
s_segment_0_1203,0.0006,0.0467,0,0.0002,0.0001,0.1615,0.5479,0.0005,0.0001,0.2067,0,0.0061,0.0108,0,0.0184,0.0004
s_segment_0_122,0,0,0,0.0001,0.0014,0.0006,0.5676,0.4203,0,0.0042,0.0051,0.0006,0.0001,0,0,0
s_segment_0_1221,0,0.0115,0.0629,0.0024,0.0007,0.4303,0.0369,0.0295,0.4241,0.0003,0,0,0.0012,0.0001,0.0001,0
s_segment_0_1224,0.0019,0.4742,0,0,0.0591,0,0.0067,0.3057,0,0.1016,0.0001,0.037,0.0133,0.0003,0.0001,0
s_segment_0_1242,0,0,0,0.0351,0.0081,0.3156,0.2102,0,0.3665,0.0003,0.001,0.0583,0.0028,0.002,0,0.0001
s_segment_0_1249,0.0001,0,0.0036,0,0,0.0013,0,0.888,0.0001,0.0401,0.0001,0,0,0.0621,0.0021,0.0025
s_segment_0_126,0,0.0043,0.0043,0,0.0001,0.0562,0.0003,0.7215,0,0,0.0001,0,0.0007,0.0833,0.0017,0.1275
s_segment_0_1266,0.0001,0.0003,0.0007,0.1122,0.0001,0.0013,0.6541,0.1921,0,0.0032,0.0034,0.0006,0.0006,0.03,0.0012,0.0001
s_segment_0_1279,0.006,0.0016,0.0044,0.0012,0.0012,0.0011,0.5919,0.1389,0.0008,0.0002,0.0239,0.0016,0.0007,0.0019,0.0002,0.2244
s_segment_0_1283,0,0,0.174,0,0,0,0,0.8252,0.0001,0,0,0,0.0006,0,0.0001,0
s_segment_0_1284,0,0.0002,0.0001,0,0.0421,0,0,0.2735,0.0018,0.0019,0.1304,0.0025,0,0,0.5422,0.0053
s_segment_0_1285,0.165,0.016,0.0044,0.0653,0.0013,0.3837,0.0832,0.0173,0.0001,0.0952,0.1169,0.0197,0,0.0018,0.0278,0.0023
s_segment_0_1286,0.1078,0.0002,0.0003,0.0041,0.0003,0.0002,0.048,0.3875,0.2481,0.0009,0.0004,0.0003,0.0192,0.0016,0.1808,0.0003
s_segment_0_1287,0,0.0002,0,0.4894,0.0001,0.0283,0.0079,0.2422,0,0.2267,0.0046,0.0001,0,0.0005,0,0
s_segment_0_130,0.0002,0,0.0002,0.0032,0.0003,0.1359,0.3958,0.3057,0.0001,0.0005,0.0025,0.0027,0,0.0006,0,0.1523
s_segment_0_1302,0.1542,0.0001,0.3119,0.0003,0,0.002,0,0.4664,0.0186,0.0304,0,0.016,0,0,0.0001,0
s_segment_0_1324,0.0203,0.0005,0.0036,0,0,0,0.1487,0.0001,0.3765,0.4493,0.0002,0.0001,0.0004,0,0,0.0003
s_segment_0_1337,0,0,0.1877,0.0001,0.0001,0.0658,0,0.7431,0,0.0004,0,0,0,0.0027,0.0001,0
s_segment_0_1341,0.0001,0.008,0,0.0084,0.0001,0,0,0.4775,0.0423,0.1703,0.0002,0,0,0.0008,0.2923,0
s_segment_0_1343,0,0.5592,0,0.0033,0.0003,0.226,0.0001,0.1665,0,0.0383,0,0,0,0,0.0004,0.0059
s_segment_0_1345,0,0.0006,0.0001,0,0.0001,0.0013,0.0007,0.5225,0.0044,0.0087,0.0162,0,0,0.0785,0.077,0.2899
s_segment_0_1359,0,0,0,0.0562,0.0355,0.0001,0,0.5836,0.0553,0.0075,0,0,0,0,0.0002,0.2616
s_segment_0_1362,0,0.0001,0,0,0,0.0016,0.0752,0.5008,0,0,0.0003,0,0.0008,0.168,0.0276,0.2256
s_segment_0_1376,0,0.0064,0.0576,0.0032,0,0.0056,0,0.3121,0.0001,0.3488,0.0042,0.092,0.0935,0.0002,0.0763,0
s_segment_0_1385,0,0.0078,0,0,0.0024,0,0.1364,0.6674,0,0,0.0002,0.1855,0.0001,0,0.0001,0.0001
s_segment_0_1398,0.0207,0.0001,0,0.0118,0,0,0.1062,0.6834,0.0031,0.0001,0.0689,0.0106,0.0408,0.0515,0.0001,0.0027
s_segment_0_1408,0.045,0.0153,0.0778,0.0397,0.0087,0.0002,0.0097,0.2762,0.3658,0.0643,0.0955,0.0001,0.0007,0.0005,0.0004,0.0001
s_segment_0_1416,0,0.2651,0,0.0027,0,0.003,0,0.2575,0.2598,0.0001,0.0021,0.0239,0.0309,0.1549,0,0
s_segment_0_1434,0.0054,0,0.004,0.0536,0.0001,0.0186,0.0001,0.9106,0.0022,0,0,0.0027,0.0025,0,0.0001,0.0001
s_segment_0_1458,0.0016,0.0468,0,0,0,0,0.0009,0.7567,0.1237,0,0,0.0002,0,0.0355,0.0345,0.0001
s_segment_0_1463,0.0019,0.0001,0,0,0.0032,0,0.2615,0.0797,0.3551,0.1281,0.0008,0.0005,0,0,0,0.1691
s_segment_0_1465,0,0,0.0062,0.0001,0,0,0,0.7124,0.0026,0,0.1995,0.0404,0.0002,0,0.0384,0.0002
s_segment_0_1483,0.0001,0,0.2379,0,0,0.0002,0,0.667,0.0087,0,0.0012,0.0052,0.0689,0.0108,0,0
s_segment_0_150,0.0007,0,0,0.0314,0,0.3807,0.036,0.3609,0.0083,0.0023,0,0,0.1793,0.0003,0.0001,0
s_segment_0_1501,0.0007,0.0013,0.0018,0.0059,0.0017,0,0.6808,0.0003,0.2744,0.0048,0.0279,0,0.0001,0.0001,0,0.0002
s_segment_0_1519,0,0.0378,0,0.0356,0,0,0,0.6128,0.0001,0,0,0.2884,0.0052,0.0016,0.0134,0.0051
s_segment_0_1524,0.0002,0.0001,0.0073,0.0024,0,0,0.0001,0.9896,0,0,0,0,0.0002,0.0001,0,0
s_segment_0_1542,0.0006,0.0014,0.0197,0.0287,0.2494,0.0001,0,0.2571,0.0525,0.0015,0.0001,0.0497,0,0,0.045,0.2942
s_segment_0_1545,0,0.0001,0.0002,0.0001,0.0018,0.0001,0,0.7249,0,0.0054,0.103,0.0312,0.0002,0.0003,0.0001,0.1326
s_segment_0_155,0.0001,0.0165,0,0,0,0.0008,0.001,0.8378,0,0.0017,0.0001,0,0,0.1393,0.0027,0
s_segment_0_1557,0.019,0,0.0503,0.0001,0.0128,0.3497,0.0012,0.0021,0.4395,0.0003,0.0109,0.003,0.0063,0.0026,0.0017,0.1005
s_segment_0_1563,0.0192,0.0001,0,0.0021,0.0001,0,0.0001,0.0029,0.5214,0.0122,0.4397,0,0,0,0,0.0022
s_segment_0_1564,0.171,0.005,0.0033,0.0001,0.0013,0.0582,0.0003,0.0074,0.5909,0.0013,0.0485,0.0019,0.0001,0.0067,0.0995,0.0045
s_segment_0_1567,0.0002,0.4156,0.0001,0,0,0,0.0001,0.3612,0,0.0168,0.0908,0,0.0007,0.0018,0.0368,0.0759
s_segment_0_159,0,0.0242,0.0001,0,0,0.0053,0.0594,0,0.9083,0.0001,0.0005,0,0,0,0.0021,0
s_segment_0_1598,0,0.0004,0.0018,0.0433,0.013,0.0016,0.0149,0.2324,0.1078,0,0.5807,0.0001,0,0.0002,0,0.0038
s_segment_0_1604,0.0008,0,0,0,0,0.0001,0.0003,0.7977,0.0001,0.2007,0,0,0.0002,0.0001,0,0
s_segment_0_1608,0.1769,0.0034,0.0004,0,0.0253,0.0002,0.0006,0.226,0.1014,0.0773,0.0011,0,0.0001,0.002,0.3852,0.0001
s_segment_0_161,0,0.0001,0,0.0287,0.0001,0.1705,0,0.0992,0.6373,0.0607,0.0002,0.0029,0,0.0001,0,0.0002
s_segment_0_1625,0.0402,0.0001,0.0571,0,0,0,0.0098,0.0137,0.8542,0.0064,0,0.0002,0,0,0.0044,0.0139
s_segment_0_1628,0.0001,0,0,0.0001,0.0977,0.0587,0.3954,0,0,0.2528,0,0.0479,0,0,0.1473,0
s_segment_0_1630,0.0027,0.034,0,0.0001,0.0011,0.4363,0.0003,0.0696,0.3533,0.0012,0.0007,0,0.0899,0.0002,0.0025,0.0081
s_segment_0_1633,0,0.0027,0.0128,0,0.0788,0,0,0.56,0,0.2951,0.0125,0,0.0012,0.0001,0.0342,0.0026
s_segment_0_1635,0.0001,0.0012,0,0.183,0,0,0.0012,0.8139,0,0.0001,0,0.0002,0,0,0,0.0003
s_segment_0_1636,0.0012,0,0.0776,0,0,0.0041,0.0497,0.6363,0.0553,0,0.0001,0.0002,0,0.1602,0.0025,0.0128
s_segment_0_165,0.0192,0,0,0.0166,0.0006,0.0675,0.1452,0.0001,0.2453,0,0.4017,0,0,0,0.1035,0.0003
s_segment_0_1653,0.0001,0.0041,0.0067,0.0075,0.0178,0.0054,0.0001,0.2126,0.1905,0,0.0001,0.5412,0.0132,0.0003,0.0001,0.0003
s_segment_0_1657,0.2384,0,0,0.0001,0,0,0.0002,0.7529,0.0001,0,0,0,0,0.0083,0,0
s_segment_0_1665,0.0044,0.0155,0,0.0001,0.0039,0.0385,0,0.5115,0.3527,0,0,0.027,0.0006,0.0454,0.0004,0
s_segment_0_1669,0.0178,0.0003,0.0001,0.0088,0.0028,0.0018,0.0002,0.3464,0,0.0497,0.1796,0.3336,0,0.0125,0.0145,0.0319
s_segment_0_1673,0.0001,0.0062,0.0004,0.0036,0.0003,0.0158,0.0001,0.732,0.0126,0.0003,0.0856,0.0178,0.041,0.084,0,0.0002
s_segment_0_168,0.2267,0.0009,0.0043,0.0012,0.0016,0.0008,0.0007,0.2669,0.0199,0.0013,0.0037,0.0011,0.0168,0.0017,0.4495,0.0029
s_segment_0_1680,0.0001,0.0037,0,0,0,0.4268,0,0.54,0,0,0.0012,0.0282,0,0,0,0
s_segment_0_1693,0.0032,0.0003,0.0001,0.0047,0.0002,0,0,0.8168,0,0,0,0.1697,0.0049,0,0.0001,0
s_segment_0_170,0.0001,0,0.0001,0,0,0.007,0.0012,0.7416,0.0008,0.0003,0.0533,0.0002,0,0,0.1737,0.0217
s_segment_0_1701,0,0.0001,0.0001,0,0.0299,0.0001,0,0.5883,0.2966,0,0,0.0133,0,0.0001,0,0.0715
s_segment_0_1708,0,0.0348,0.0002,0.0571,0.0001,0.1297,0.0002,0.7746,0.0017,0,0,0.0001,0,0.0012,0.0002,0.0001
s_segment_0_1725,0.0001,0.0094,0,0.0025,0.0027,0.0001,0,0.2609,0.1928,0.0001,0,0.5128,0,0.0017,0.0047,0.0122
s_segment_0_1736,0.0003,0,0.0005,0.0004,0.0036,0,0.0022,0.8644,0,0,0.1257,0,0.0001,0.0002,0,0.0026
s_segment_0_1737,0,0.1411,0.0037,0,0.0484,0.0001,0,0.6128,0,0.0001,0.0117,0.1816,0,0,0.0001,0.0004
s_segment_0_175,0.0001,0.334,0.0002,0.0006,0,0.0052,0.0188,0.5302,0,0.0891,0.0002,0.0013,0,0.0003,0.02,0
s_segment_0_1750,0,0.0003,0,0.0001,0.3511,0,0.0247,0.4253,0.1682,0.0015,0.0173,0.0057,0.0009,0.0049,0,0
s_segment_0_1751,0.0002,0.001,0.0806,0.0001,0.0023,0.0001,0.0241,0.1578,0.1384,0.0009,0.1164,0.0021,0.0153,0.0001,0.0004,0.4602
s_segment_0_1762,0.0366,0.0001,0.0553,0.0211,0.0001,0.3259,0.0171,0.2391,0,0,0.2598,0.0001,0.0445,0.0003,0,0
s_segment_0_1780,0.0072,0.0004,0.0089,0.005,0.0733,0.3577,0.0003,0.5101,0.0205,0.0025,0.0005,0.0004,0.0091,0.0005,0.0019,0.0017
s_segment_0_1794,0,0,0.0008,0.0204,0.0009,0.0005,0,0.2017,0.6783,0,0,0,0.0399,0.0001,0.0001,0.0573
s_segment_0_1803,0.0001,0,0.0017,0,0.0001,0,0.0002,0.869,0.0975,0.0087,0,0,0.0054,0,0.0001,0.0172
s_segment_0_1807,0.0003,0.1349,0,0.0001,0,0.012,0,0.6668,0.1777,0,0,0.0071,0.0003,0.0007,0.0001,0
s_segment_0_1813,0,0.0013,0.0079,0.0095,0.0235,0.3209,0,0.249,0.0477,0,0,0.0001,0.3398,0,0,0.0003
s_segment_0_182,0,0.0049,0.0175,0.0248,0,0,0.0003,0.7422,0.0001,0.0003,0.1669,0.0004,0.0052,0.0374,0,0
s_segment_0_1834,0,0,0.0006,0.0014,0.0001,0.0001,0,0.6927,0.1642,0,0.0377,0.1027,0.0005,0,0,0
s_segment_0_1848,0.0034,0.0001,0,0.0003,0.0009,0,0,0.9424,0.0242,0.0002,0,0.0257,0.0019,0.0004,0.0001,0.0004
s_segment_0_1853,0.0287,0,0.1568,0.0012,0,0.0029,0.4904,0,0.0005,0.2219,0.0008,0.0014,0.0001,0,0.0952,0.0001
s_segment_0_1862,0.4342,0.0001,0.0071,0.0552,0.0017,0.0014,0.0605,0.1367,0.2969,0.0003,0,0.0011,0.0001,0.0002,0.0001,0.0044
s_segment_0_1870,0.0898,0.0143,0,0.0633,0.0036,0.0277,0.0001,0.0984,0.234,0.071,0,0.3952,0.0021,0.0004,0,0.0001
s_segment_0_1873,0.0002,0.0178,0.0012,0.0001,0,0,0.0048,0.9608,0.0001,0,0.0017,0.0053,0.0019,0,0.0061,0
s_segment_0_188,0.1411,0.0001,0,0.2053,0,0.0001,0.0007,0.6417,0.0001,0,0.0056,0,0,0,0,0.0053
s_segment_0_1882,0.0015,0,0.002,0.0124,0,0.0461,0.033,0.4552,0.0295,0.0049,0,0.0001,0.0001,0,0.0638,0.3514
s_segment_0_1891,0.0099,0.0001,0,0.0917,0.0068,0,0.3687,0.013,0.0645,0.3963,0.0002,0.0103,0.0376,0.0003,0.0001,0.0005
s_segment_0_1901,0.0017,0.0274,0,0.0352,0.0029,0,0.0001,0.7094,0.1599,0,0.048,0.0001,0,0.0152,0.0001,0
s_segment_0_1915,0.0036,0,0.0096,0.0003,0.0002,0,0,0.2785,0.0001,0.7076,0,0,0,0,0.0001,0
s_segment_0_1919,0.0063,0.0439,0.0004,0.0994,0.013,0.0011,0,0.2595,0,0.0139,0.4009,0.156,0.0041,0.0004,0.0001,0.001
s_segment_0_1932,0,0.0009,0,0.0011,0.0005,0,0,0.9312,0.0004,0.0002,0.0001,0,0,0.0656,0,0
s_segment_0_1936,0,0,0.0049,0,0.0046,0,0,0.7908,0.1201,0.0001,0.0783,0.0001,0,0.0011,0,0
s_segment_0_1937,0.0001,0,0,0,0,0,0,0.3472,0,0.0309,0.0005,0.6112,0.0001,0.01,0,0
s_segment_0_1939,0,0.0378,0,0,0,0,0.452,0.0035,0.0001,0.1578,0.2421,0.001,0,0.0001,0,0.1056
s_segment_0_1955,0.0117,0.0081,0.0063,0.0001,0.0014,0,0,0.7799,0,0,0,0.0224,0.17,0,0,0.0001
s_segment_0_1985,0.2512,0.0007,0.0003,0.043,0.0017,0.0001,0.0476,0.3067,0.0767,0.0315,0.0015,0.0006,0.1069,0.0001,0.1312,0.0002
s_segment_0_1991,0,0.0002,0.1973,0.1291,0,0.0013,0.0062,0.5583,0.002,0.0001,0.0001,0.0708,0,0.0041,0.0007,0.0298
s_segment_0_1994,0.022,0.0342,0.009,0,0,0.043,0.0174,0.7178,0.0008,0.0178,0.0001,0.0062,0.0077,0.0082,0.0752,0.0406
s_segment_0_2003,0.1802,0.3506,0.0002,0.0007,0.0001,0,0,0.3709,0,0.0059,0.0269,0.0092,0.0077,0.0428,0.0001,0.0047
s_segment_0_2008,0.0471,0.0023,0.0082,0.0269,0,0.3773,0.0001,0.3463,0.0007,0.1222,0.0216,0.0209,0,0.0001,0.0064,0.0199
s_segment_0_2037,0.0049,0.0276,0.0036,0.0001,0.0007,0.0078,0.0764,0.5251,0,0.0009,0.0663,0.0296,0.0226,0,0.2337,0.0007
s_segment_0_2054,0.0001,0.0005,0.001,0.0001,0.0002,0.0899,0.0495,0,0.0002,0.4773,0.358,0.0003,0.0001,0.0074,0.0149,0.0005
s_segment_0_2055,0.0001,0.0213,0,0,0.0208,0,0,0.7188,0.0021,0.0004,0,0.0007,0.0003,0,0.0011,0.2344
s_segment_0_2057,0,0.0414,0.0127,0.0037,0.1799,0.0002,0.1489,0.0426,0.0002,0.5229,0.0136,0.0093,0.0129,0.0002,0.0077,0.0038
s_segment_0_2078,0,0,0.0898,0,0,0.0008,0.0032,0.7916,0,0,0,0.0001,0.0757,0.0388,0,0
s_segment_0_2084,0,0.0001,0,0.0404,0,0.0012,0.4522,0,0.1434,0.3274,0,0,0,0,0.0352,0.0001
s_segment_0_2107,0.0228,0.0022,0.0009,0.0291,0.0032,0.0001,0.0001,0.1166,0.0549,0,0.6276,0.1259,0.0092,0.0001,0.0044,0.0029
s_segment_0_2108,0,0,0.0726,0.0117,0.0031,0.6532,0.0001,0.2504,0.0002,0.0001,0,0.0001,0.0061,0.0001,0,0.0023
s_segment_0_2109,0,0.0009,0.0048,0,0.0018,0.0001,0.087,0.8612,0.0059,0.0013,0.0001,0.0287,0,0,0,0.0082
s_segment_0_2111,0.0073,0,0.0049,0.0001,0.1253,0.0124,0,0.7322,0,0,0.0246,0.0067,0.0053,0.036,0.0452,0
s_segment_0_2118,0.0072,0,0.0138,0.0001,0.0001,0.0001,0,0.1441,0.8341,0,0,0,0,0,0,0.0005
s_segment_0_2122,0,0.0001,0.0064,0.0001,0.0001,0,0.0005,0.8849,0,0,0.0421,0.0336,0,0,0.0322,0
s_segment_0_2133,0.0003,0.0105,0.0241,0,0.0017,0.0024,0.0017,0.0188,0.7997,0.0427,0.0122,0,0.0455,0.0004,0.0001,0.0399
s_segment_0_214,0.0004,0.0016,0,0,0.0051,0.0064,0.5223,0.0303,0.3038,0.0293,0,0.0001,0.0004,0.0002,0.1,0.0001
s_segment_0_2150,0,0.02,0.0138,0.0011,0,0.0013,0.0128,0.0003,0.8009,0.0222,0.0485,0.0001,0.0514,0,0.0273,0.0003
s_segment_0_2153,0.0213,0.0001,0,0,0,0.0131,0.0002,0.7149,0.1187,0,0,0.0021,0.1288,0.0001,0,0.0007
s_segment_0_2169,0.2376,0.0001,0,0.0281,0.0051,0.1535,0.2006,0.2639,0,0,0.0501,0.0581,0.0026,0,0,0.0003
s_segment_0_2186,0,0.0003,0.0375,0.0022,0,0,0.0004,0.6658,0,0.0013,0.1162,0,0.0001,0.1037,0.0001,0.0724
s_segment_0_2191,0.0008,0,0,0.0002,0,0.0019,0,0.9138,0.0014,0.0271,0.0237,0.0001,0.0289,0,0.002,0.0001
s_segment_0_2203,0.0002,0.0092,0,0.0114,0.0592,0,0.1712,0.4355,0,0.0079,0,0.0028,0.1249,0.0256,0.152,0.0001
s_segment_0_2205,0,0.3311,0.0238,0.0001,0,0.0001,0.0345,0.5972,0,0.0062,0.0003,0.0053,0,0.0003,0.0006,0.0005
s_segment_0_2211,0.1709,0.0058,0,0,0.0007,0.0001,0,0.5953,0.0388,0.0001,0.1815,0.0006,0.0001,0,0.0055,0.0006
s_segment_0_223,0.0003,0.0136,0,0.0001,0.0006,0.0001,0,0.7251,0.0009,0.1137,0,0.0001,0.0048,0.1397,0.001,0
s_segment_0_2239,0.0002,0,0.0002,0.0002,0.0003,0,0.0108,0.686,0.0003,0.0001,0.0001,0.0271,0.2622,0.0002,0.011,0.0013
s_segment_0_2240,0.0003,0.0639,0.0192,0,0.0008,0.0001,0.0875,0.7862,0.0009,0.0002,0.0001,0.0045,0,0,0,0.0363
s_segment_0_2244,0.0003,0.0003,0.0004,0.0004,0.2163,0.0005,0.3325,0.3138,0.1056,0.0154,0.0001,0.0004,0.0028,0.0112,0,0
s_segment_0_2246,0,0.0012,0.0859,0,0,0,0.3594,0,0,0.5288,0,0,0.0001,0.0168,0.0003,0.0075
s_segment_0_225,0,0.0001,0,0.2227,0.0241,0.1307,0.26,0.1951,0,0.0009,0,0,0.0427,0,0.1076,0.0161
s_segment_0_2250,0.0001,0,0.0102,0.0001,0.0178,0.0013,0.0001,0.9438,0.0015,0.0102,0,0.0007,0.0001,0.0139,0.0001,0.0001
s_segment_0_2265,0.0832,0.059,0.004,0.0129,0,0.1222,0,0.5998,0,0,0,0,0.0001,0,0.1188,0
s_segment_0_2276,0.0213,0.0208,0.0002,0.0003,0.0009,0.0136,0.0001,0.0861,0.0325,0.6738,0.0689,0,0.0145,0.0001,0.0668,0.0001
s_segment_0_2285,0.0014,0.0003,0,0.0004,0.0081,0.01,0.0003,0.3386,0.3958,0.0001,0.0001,0.0142,0.0002,0.0136,0.0007,0.2162
s_segment_0_2298,0.0001,0.0035,0.2012,0,0.008,0.0003,0,0.6886,0.0066,0.0001,0.0485,0,0.0283,0.0045,0.0077,0.0026
s_segment_0_2312,0.0047,0.0856,0.0173,0.0001,0.0193,0.0004,0.0054,0.7961,0.0283,0.004,0.0001,0.0039,0.0055,0.0191,0.0101,0.0001
s_segment_0_2318,0.0005,0.0012,0.0008,0.0011,0,0.012,0.0778,0.9006,0,0.0057,0,0,0.0001,0.0001,0,0.0001
s_segment_0_2320,0.0536,0.0716,0.1055,0.219,0,0.0006,0.3442,0.0702,0.0002,0.1274,0,0.0006,0.0014,0.0034,0.0003,0.002
s_segment_0_2327,0.0002,0.0002,0,0.0026,0.132,0.0001,0.0045,0.5494,0.0006,0,0.2362,0,0.0001,0,0,0.0741
s_segment_0_2333,0.0004,0.0058,0.0001,0.0001,0.1091,0.1704,0.4649,0,0.2407,0.004,0.0037,0,0,0,0,0.0008
s_segment_0_2336,0.0001,0.2127,0.0026,0.005,0.0007,0.0024,0.0247,0.4576,0.0003,0.0001,0.1002,0.1932,0,0,0.0001,0.0003
s_segment_0_2337,0,0,0.0004,0,0.0061,0.0574,0.426,0.0004,0.3705,0,0.0107,0.1268,0.0001,0,0.0001,0.0015
s_segment_0_2344,0.2654,0.0027,0.0028,0.0102,0,0.0006,0.0001,0.116,0.5816,0.0001,0.0086,0.0017,0.0077,0.0008,0.0016,0.0001
s_segment_0_2345,0,0.0016,0.1149,0.1149,0.0001,0.1783,0,0.5867,0.0002,0,0,0.0001,0,0.003,0.0002,0
s_segment_0_2349,0.0071,0.1677,0.0007,0,0.0019,0,0.0961,0.0057,0.6352,0,0,0.0853,0.0001,0.0001,0.0001,0
s_segment_0_235,0,0,0.0002,0.0034,0.0041,0.0001,0.0001,0.8537,0,0.0021,0.0136,0.0046,0,0.02,0.0019,0.0962
s_segment_0_2356,0.034,0,0,0,0.0053,0,0,0.956,0.0001,0.0003,0,0,0.0001,0.0041,0,0.0001
s_segment_0_2360,0,0.0423,0.0001,0.0001,0.0018,0,0.0006,0.1705,0.0204,0.7624,0.0002,0.0001,0.0001,0.0001,0.0012,0.0001
s_segment_0_2369,0,0.0001,0,0.0002,0,0.0099,0,0.8184,0,0.0009,0,0.039,0.001,0,0.1269,0.0036
s_segment_0_2387,0,0.0195,0.0012,0,0,0.0017,0.0001,0.1064,0.3423,0.0001,0.0001,0.0256,0,0.0001,0.009,0.4939
s_segment_0_2396,0,0,0.148,0,0.0001,0.0014,0.0008,0.7846,0,0,0,0,0,0.0002,0.064,0.0009
s_segment_0_240,0.0001,0,0.2023,0.2291,0.0007,0.0004,0.0002,0.4662,0.0234,0.0108,0.0001,0.0152,0.0002,0.0054,0.0248,0.0211
s_segment_0_2412,0.0139,0,0.0001,0,0,0,0,0.4948,0.0189,0.0001,0.1591,0.0065,0.2984,0.0075,0.0005,0.0002
s_segment_0_2418,0,0,0,0.0001,0.001,0,0.2442,0.2945,0,0.2612,0.1835,0,0,0,0,0.0155
s_segment_0_2434,0.0002,0,0,0.0003,0.0001,0,0,0.7887,0.0014,0.0077,0,0,0.0001,0,0.2015,0
s_segment_0_2465,0.001,0.0087,0.0008,0.0014,0.0012,0.0353,0.3355,0.0821,0.0012,0.0081,0.0516,0.0088,0.0303,0,0.2506,0.1834
s_segment_0_2486,0,0.0301,0,0,0.0059,0,0.1049,0.2072,0.3012,0.089,0.0004,0.0003,0.2609,0.0001,0,0
s_segment_0_2499,0.0186,0.0005,0.003,0.0001,0.0001,0.0003,0.0002,0.6268,0.0025,0,0.0057,0,0,0.0001,0.0031,0.339
s_segment_0_2508,0.0001,0.354,0,0,0,0,0,0.455,0,0,0.0379,0.0001,0,0,0.0018,0.1511
s_segment_0_2519,0.0251,0.1421,0.0175,0.0001,0.0032,0.0012,0.2625,0.2932,0.0016,0.0001,0,0,0.0419,0.0873,0.0017,0.1225
